ts_utc,kind,magic,side,why,reason,ok,signal_time_utc,decision_time_utc,signal_age_seconds,reversal_direction,reversal_brick_price,reversal_brick_index,m1_closed_bar_time_utc,bid_at_decision,ask_at_decision,spread_at_decision,quote_at_decision,chase_price_signed,chase_points_signed,atr_m1_14_at_decision,atr_over_brick_at_decision,ema20_at_decision,ema50_at_decision,shadow_chase_50_pass,shadow_chase_100_pass,requested_price,fill_price,fill_distance_from_brick,adverse_slippage_price,adverse_slippage_points,slippage_usd,bid,ask,spread,bid_after_fill,ask_after_fill,spread_after_fill,latency_ms,retcode,broker_comment,deal,order,request_id,basket_before,positions,recovery,cycle_direction,protection_state,daily_total,trail_armed,peak,floor,trigger_total,final_total,execution_gap,day,bot_value,activate,giveback,daily_loss_limit,balance,equity,margin,margin_free,margin_level
2026-08-07T22:05:19.631,order_open,770405,SELL,new cycle,,True,,,,,,,,,,,,,,,,,,,,64864.54,64861.19,,,,-0.0335,64864.54,64874.54,10.0,,,,1052.9,10009,ok,2513666342,3060407625,3687896273,1,,,,,,,,,,,,,,,,,981.74,981.5,4.86,976.64,20195.5
2026-08-08T19:13:06.951,order_open,770405,SELL,recovery add #2,,True,,,,,,,,,,,,,,,,,,,,64965.3,64965.3,,,,0.0,64965.3,64975.3,10.0,,,,633.8,10009,ok,2514183432,3060917126,2195598002,1,,,,,,,,,,,,,,,,,980.12,977.6,8.12,969.48,12039.4
2026-08-08T22:51:40.433,close_decided,770405,,recovered - own cycle P&L +0.02 (realised +0.00 + floating +0.02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980.27,981.4,6.49,974.91,15121.7
2026-08-08T22:51:40.987,order_close,770405,SELL,recovered - own cycle P&L +0.02 (realised +0.00 + floating +0.02),,True,,,,,,,,,,,,,,,,,,,,64911.57,64911.57,,,,-0.0,64901.57,64911.57,10.0,,,,551.4,10009,ok,2514283601,3061019695,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T22:51:41.656,order_close,770405,SELL,recovered - own cycle P&L +0.02 (realised +0.00 + floating +0.02),,True,,,,,,,,,,,,,,,,,,,,64911.57,64911.590000000004,,,,-0.0002,64901.57,64911.57,10.0,,,,665.2,10009,ok,2514283610,3061019699,,,,,,,,,,,,,,,,,,,,,,,
2026-08-09T08:16:21.567,order_open,770405,BUY,new cycle,,True,,,,,,,,,,,,,,,,,,,,64889.0,64889.0,,,,-0.0,64879.0,64889.0,10.0,,,,656.9,10009,ok,2514455036,3061187031,2195598009,0,,,,,,,,,,,,,,,,,985.15,984.97,3.24,981.73,30400.3
2026-08-09T10:14:21.685,close_decided,770405,,recovered - own cycle P&L +0.04 (realised +0.00 + floating +0.04),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.65,983.69,1.62,982.07,60721.6
2026-08-09T10:14:22.216,order_close,770405,BUY,recovered - own cycle P&L +0.04 (realised +0.00 + floating +0.04),,True,,,,,,,,,,,,,,,,,,,,64893.16,64893.14,,,,-0.0002,64893.16,64903.16,10.0,,,,527.2,10009,ok,2514527622,3061259980,,,,,,,,,,,,,,,,,,,,,,,
2026-08-09T20:11:22.275,order_open,770405,SELL,new cycle,,True,,,,,,,,,,,,,,,,,,,,65054.59,65054.590000000004,,,,0.0,65054.59,65064.59,10.0,,,,642.3,10009,ok,2514949359,3061669855,2195598016,0,,,,,,,,,,,,,,,,,983.69,983.48,3.25,980.23,30260.9
2026-08-09T22:25:06.462,order_open,770405,SELL,recovery add #2,,True,,,,,,,,,,,,,,,,,,,,65160.76,65160.76,,,,0.0,65160.76,65170.76,10.0,,,,554.7,10009,ok,2515118688,3061903568,2195598022,1,,,,,,,,,,,,,,,,,982.19,977.58,8.14,969.44,12009.6
2026-08-09T22:33:09.448,close_decided,770405,,recovered - own cycle P&L +0.90 (realised +0.00 + floating +0.90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.66,983.54,4.88,978.66,20154.5
2026-08-09T22:33:09.966,order_close,770405,SELL,recovered - own cycle P&L +0.90 (realised +0.00 + floating +0.90),,True,,,,,,,,,,,,,,,,,,,,65062.93,65064.340000000004,,,,-0.0141,65052.93,65062.93,10.0,,,,510.0,10009,ok,2515135739,3061924352,,,,,,,,,,,,,,,,,,,,,,,
2026-08-09T22:33:11.159,order_close,770405,SELL,recovered - own cycle P&L +0.90 (realised +0.00 + floating +0.90),,True,,,,,,,,,,,,,,,,,,,,65064.34,65067.9,,,,-0.0356,65054.34,65064.34,10.0,,,,589.4,10009,ok,2515135766,3061924386,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10T00:10:16.321,order_open,770405,BUY,new cycle,,True,,,,,,,,,,,,,,,,,,,,64995.87,64994.94,,,,0.0093,64985.87,64995.87,10.0,,,,656.8,10009,ok,2515370239,3062165451,2195598030,0,,,,,,,,,,,,,,,,,983.47,983.27,3.25,980.02,30254.5
2026-08-10T00:21:20.122,order_open,770405,SELL,new cycle,,True,,,,,,,,,,,,,,,,,,,,64975.99,64982.48,,,,0.0649,64975.99,64985.99,10.0,,,,667.8,10009,ok,2515409594,3062204219,2195598034,0,,,,,,,,,,,,,,,,,993.47,993.27,3.25,990.02,30562.2
2026-08-10T02:16:14.633,order_open,770405,SELL,recovery add #2,,True,,,,,,,,,,,,,,,,,,,,64998.23,64999.36,,,,0.0113,64998.23,65008.23,10.0,,,,500.6,10009,ok,2515719095,3062519400,2195598039,1,,,,,,,,,,,,,,,,,991.93,990.79,9.75,981.04,10161.9
2026-08-10T02:17:35.564,close_decided,770405,,recovered - own cycle P&L +0.35 (realised +0.00 + floating +0.35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.26,993.2,8.12,985.08,12231.5
2026-08-10T02:17:36.209,order_close,770405,SELL,recovered - own cycle P&L +0.35 (realised +0.00 + floating +0.35),,True,,,,,,,,,,,,,,,,,,,,64973.14,64973.16,,,,-0.0002,64963.14,64973.14,10.0,,,,646.3,10009,ok,2515720355,3062520810,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10T02:17:36.706,order_close,770405,SELL,recovered - own cycle P&L +0.35 (realised +0.00 + floating +0.35),,True,,,,,,,,,,,,,,,,,,,,64973.16,64973.16,,,,-0.0,64963.16,64973.16,10.0,,,,504.6,10009,ok,2515720359,3062520821,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10T02:44:12.072,order_open,770405,BUY,new cycle,,True,,,,,,,,,,,,,,,,,,,,65161.1,65163.12,,,,-0.0202,65151.1,65161.1,10.0,,,,546.0,10009,ok,2515763904,3062566398,2195598048,0,,,,,,,,,,,,,,,,,991.39,991.45,3.26,988.19,30412.6
2026-08-10T03:21:07.188,order_open,770405,BUY,recovery add #2,,True,,,,,,,,,,,,,,,,,,,,65035.78,65035.71,,,,0.0007,65025.78,65035.78,10.0,,,,603.5,10009,ok,2515808415,3062613137,2195598053,1,,,,,,,,,,,,,,,,,989.81,985.02,6.51,978.51,15130.9
