ts_utc,kind,magic,side,why,reason,ok,signal_time_utc,decision_time_utc,signal_age_seconds,reversal_direction,reversal_brick_price,reversal_brick_index,m1_closed_bar_time_utc,bid_at_decision,ask_at_decision,spread_at_decision,quote_at_decision,chase_price_signed,chase_points_signed,atr_m1_14_at_decision,atr_over_brick_at_decision,ema20_at_decision,ema50_at_decision,shadow_chase_50_pass,shadow_chase_100_pass,requested_price,fill_price,fill_distance_from_brick,adverse_slippage_price,adverse_slippage_points,slippage_usd,bid,ask,spread,bid_after_fill,ask_after_fill,spread_after_fill,latency_ms,retcode,broker_comment,deal,order,request_id,basket_before,positions,recovery,cycle_direction,protection_state,daily_total,trail_armed,peak,floor,trigger_total,final_total,execution_gap,day,bot_value,activate,giveback,daily_loss_limit,balance,equity,margin,margin_free,margin_level
2026-08-07T22:05:18.570,order_open,770407,SELL,new cycle,,True,,,,,,,,,,,,,,,,,,,,64866.59,64864.54,,,,-0.0205,64866.59,64876.59,10.0,,,,622.4,10009,ok,532669861,1036610355,1633337057,1,,,,,,,,,,,,,,,,,82.09,81.99,1.62,80.37,5061.1
2026-08-08T03:17:57.529,protection_day_start,770407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-08,2.55,7.0,4.0,20.0,,,,,
2026-08-08T03:27:06.049,signal_seen,770407,,,,,2026-08-08T03:26:00,2026-08-08T03:27:05.901,65.902,BUY,64921.23,2362,2026-08-08T03:26:00,64995.87,65005.87,10.0,65005.87,84.64,8464.0,17.8257,0.3565,64934.0883,64909.0911,False,True,,,,,,,,,,,,,,,,,,,,1,False,SELL,ACTIVE,-0.81,False,,,,,,,,,,,,,,,
2026-08-08T03:27:06.057,signal_waiting,770407,,,holding_not_in_recovery,,2026-08-08T03:26:00,2026-08-08T03:27:05.901,65.902,BUY,64921.23,2362,2026-08-08T03:26:00,64995.87,65005.87,10.0,65005.87,84.64,8464.0,17.8257,0.3565,64934.0883,64909.0911,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T19:13:05.778,signal_seen,770407,,,,,2026-08-08T19:12:00,2026-08-08T19:13:05.618,65.619,SELL,65021.23,2367,2026-08-08T19:12:00,64971.5,64981.5,10.0,64971.5,49.73,4973.0,9.8207,0.1964,64991.9011,65005.5734,True,True,,,,,,,,,,,,,,,,,,,,1,True,SELL,ACTIVE,-0.57,False,,,,,,,,,,,,,,,
2026-08-08T19:13:06.576,order_open,770407,SELL,recovery add #2,,True,2026-08-08T19:12:00,2026-08-08T19:13:05.818,65.819,SELL,65021.23,2367,2026-08-08T19:12:00,64971.5,64981.5,10.0,64971.5,49.73,4973.0,9.8207,0.1964,64991.9011,65005.5734,True,True,64971.5,64965.3,55.93,6.2,620.0,-0.062,64971.5,64981.5,10.0,64965.3,64975.3,10.0,611.0,10009,ok,532709419,1036646525,3402256291,1,,,,,,,,,,,,,,,,,132.09,130.82,3.25,127.57,4025.2
2026-08-08T22:51:39.414,close_decided,770407,,recovered - own cycle P&L +0.06 (realised +0.00 + floating +0.06),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.09,132.15,3.25,128.9,4066.2
2026-08-08T22:51:39.972,order_close,770407,SELL,recovered - own cycle P&L +0.06 (realised +0.00 + floating +0.06),,True,,,,,,,,,,,,,,,,,,,,64911.54,64911.54,,,,-0.0,64901.54,64911.54,10.0,,,,557.4,10009,ok,532717303,1036654136,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T22:51:40.525,order_close,770407,SELL,recovered - own cycle P&L +0.06 (realised +0.00 + floating +0.06),,True,,,,,,,,,,,,,,,,,,,,64911.54,64911.57,,,,-0.0003,64901.54,64911.54,10.0,,,,546.1,10009,ok,532717304,1036654137,,,,,,,,,,,,,,,,,,,,,,,
2026-08-09T00:00:18.395,protection_day_start,770407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-09,3.21,7.0,4.0,20.0,,,,,
2026-08-09T08:16:03.708,signal_seen,770407,,,,,2026-08-09T08:15:00,2026-08-09T08:16:03.506,63.506,BUY,64821.23,2374,2026-08-09T08:15:00,64870.52,64880.52,10.0,64880.52,59.29,5929.0,16.8307,0.3366,64837.0961,64810.3795,False,True,,,,,,,,,,,,,,,,,,,,0,False,,ACTIVE,0.0,False,,,,,,,,,,,,,,,
2026-08-09T08:16:04.539,order_open,770407,BUY,new cycle,,True,2026-08-09T08:15:00,2026-08-09T08:16:03.726,63.727,BUY,64821.23,2374,2026-08-09T08:15:00,64870.52,64880.52,10.0,64880.52,59.29,5929.0,16.8307,0.3366,64837.0961,64810.3795,False,True,64880.52,64881.28,60.05,0.76,76.0,-0.0076,64870.52,64880.52,10.0,64871.28,64881.28,10.0,649.2,10009,ok,532733710,1036669916,3402256294,0,,,,,,,,,,,,,,,,,132.15,132.05,1.62,130.43,8151.2
2026-08-09T20:11:05.990,signal_seen,770407,,,,,2026-08-09T20:10:00,2026-08-09T20:11:05.714,65.714,SELL,65121.23,2383,2026-08-09T20:10:00,65054.46,65064.46,10.0,65054.46,66.77,6677.0,15.1371,0.3027,65116.1206,65132.5648,False,True,,,,,,,,,,,,,,,,,,,,0,False,,ACTIVE,2.5,False,,,,,,,,,,,,,,,
2026-08-09T20:11:06.757,order_open,770407,SELL,new cycle,,True,2026-08-09T20:10:00,2026-08-09T20:11:06.046,66.046,SELL,65121.23,2383,2026-08-09T20:10:00,65054.46,65064.46,10.0,65054.46,66.77,6677.0,15.1371,0.3027,65116.1206,65132.5648,False,True,65054.46,65054.47,66.76,-0.01,-1.0,0.0001,65054.46,65064.46,10.0,65054.47,65064.47,10.0,504.2,10009,ok,532772018,1036704984,3402256295,0,,,,,,,,,,,,,,,,,134.65,134.55,1.63,132.92,8254.6
2026-08-09T22:10:11.775,signal_seen,770407,,,,,2026-08-09T22:09:00,2026-08-09T22:10:11.618,71.618,BUY,65171.23,2385,2026-08-09T22:09:00,65233.05,65243.05,10.0,65243.05,71.82,7182.0,22.2793,0.4456,65183.4536,65152.1487,False,True,,,,,,,,,,,,,,,,,,,,1,True,SELL,ACTIVE,0.61,False,,,,,,,,,,,,,,,
2026-08-09T22:10:11.780,signal_skipped,770407,,,opposite_to_cycle,,2026-08-09T22:09:00,2026-08-09T22:10:11.618,71.618,BUY,65171.23,2385,2026-08-09T22:09:00,65233.05,65243.05,10.0,65243.05,71.82,7182.0,22.2793,0.4456,65183.4536,65152.1487,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-09T22:25:17.409,signal_seen,770407,,,,,2026-08-09T22:24:00,2026-08-09T22:25:17.211,77.211,SELL,65221.23,2389,2026-08-09T22:24:00,65165.75,65175.75,10.0,65165.75,55.48,5548.0,55.9743,1.1195,65225.1993,65193.4035,False,True,,,,,,,,,,,,,,,,,,,,1,True,SELL,ACTIVE,1.28,False,,,,,,,,,,,,,,,
2026-08-09T22:25:18.194,order_open,770407,SELL,recovery add #2,,True,2026-08-09T22:24:00,2026-08-09T22:25:17.420,77.421,SELL,65221.23,2389,2026-08-09T22:24:00,65165.75,65175.75,10.0,65165.75,55.48,5548.0,55.9743,1.1195,65225.1993,65193.4035,False,True,65165.75,65177.37,43.86,-11.62,-1162.0,0.1162,65165.75,65175.75,10.0,65177.37,65187.37,10.0,534.9,10009,ok,532787566,1036727904,3402256296,1,,,,,,,,,,,,,,,,,134.65,133.33,3.26,130.07,4089.9
