signal_time_utc,side,verdict,h1_close,h1_ema75,m15_close,m15_ema75
2026-08-16T22:57:00,BUY,not_filtered_buy,,,,
2026-08-16T22:59:00,BUY,not_filtered_buy,,,,
2026-08-16T23:00:00,BUY,not_filtered_buy,,,,
2026-08-17T00:24:00,SELL,aligned,62831.36,63102.52,62841.53,62974.86
2026-08-17T00:25:00,SELL,aligned,62831.36,63102.52,62841.53,62974.86
2026-08-17T00:31:00,SELL,aligned,62831.36,63102.52,62799.03,62970.3
2026-08-17T00:36:00,SELL,aligned,62831.36,63102.52,62799.03,62970.3
2026-08-17T00:44:00,BUY,not_filtered_buy,,,,
2026-08-17T01:00:00,BUY,not_filtered_buy,,,,
2026-08-17T02:03:00,SELL,blocked,63032.6,63094.14,63032.6,62973.16
2026-08-17T02:04:00,SELL,blocked,63032.6,63094.14,63032.6,62973.16
2026-08-17T02:06:00,SELL,blocked,63032.6,63094.14,63032.6,62973.16
2026-08-17T02:32:00,BUY,not_filtered_buy,,,,
2026-08-17T07:44:00,SELL,blocked,63599.03,63139.22,63466.43,63175.26
2026-08-17T07:48:00,SELL,blocked,63599.03,63139.22,63466.43,63175.26
2026-08-17T07:59:00,SELL,blocked,63451.52,63147.52,63451.52,63182.53
2026-08-17T08:02:00,SELL,blocked,63451.52,63147.52,63451.52,63182.53
2026-08-17T08:03:00,SELL,blocked,63451.52,63147.52,63357.93,63191.85
2026-08-17T08:04:00,SELL,blocked,63451.52,63147.52,63357.93,63191.85
2026-08-17T10:30:00,BUY,not_filtered_buy,,,,
2026-08-17T10:31:00,BUY,not_filtered_buy,,,,
2026-08-17T10:35:00,BUY,not_filtered_buy,,,,
2026-08-17T11:57:00,SELL,blocked,63560.38,63176.91,63560.38,63267.0
2026-08-17T12:06:00,SELL,blocked,63560.38,63176.91,63590.39,63275.54
2026-08-17T12:26:00,SELL,blocked,63560.38,63176.91,63491.3,63287.28
2026-08-17T13:32:00,BUY,not_filtered_buy,,,,
2026-08-17T13:47:00,SELL,blocked,63476.76,63184.91,63576.93,63307.68
2026-08-17T14:06:00,SELL,blocked,63594.1,63195.6,63620.89,63323.37
2026-08-17T14:28:00,SELL,blocked,63594.1,63195.6,63552.08,63329.46
2026-08-17T14:49:00,BUY,not_filtered_buy,,,,
2026-08-17T14:51:00,BUY,not_filtered_buy,,,,
2026-08-17T16:14:00,SELL,blocked,64137.43,63236.11,64011.43,63428.45
2026-08-17T16:15:00,SELL,blocked,64137.43,63236.11,64028.39,63444.28
2026-08-17T17:11:00,SELL,blocked,64055.14,63257.54,64055.14,63475.53
2026-08-17T17:12:00,SELL,blocked,64055.14,63257.54,63927.52,63487.48
2026-08-17T17:18:00,BUY,not_filtered_buy,,,,
2026-08-17T17:25:00,SELL,blocked,64055.14,63257.54,63927.52,63487.48
2026-08-17T17:28:00,SELL,blocked,64055.14,63257.54,64148.04,63504.89
2026-08-17T17:45:00,BUY,not_filtered_buy,,,,
2026-08-17T17:50:00,BUY,not_filtered_buy,,,,
2026-08-17T17:51:00,BUY,not_filtered_buy,,,,
2026-08-17T18:33:00,SELL,blocked,64266.56,63284.06,64434.96,63585.23
2026-08-17T19:01:00,SELL,blocked,64372.63,63312.89,64372.63,63626.72
2026-08-17T21:09:00,BUY,not_filtered_buy,,,,
2026-08-17T22:33:00,SELL,blocked,64234.07,63411.1,64234.07,63856.48
