position_id,side,entry_time_utc,entry_price,exit_time_utc,exit_price,duration_min,profit_usd,max_dd_usd,atr_m1_14_at_entry,atr_m1_14_at_exit,swing_runlen_at_entry,spread_pts_at_entry,hour_utc_at_entry,dow_at_entry,sl_usd,tp_usd,m1_prev_color,m1_prev_body_pts,m1_prev_atr_trend,m1_above_ema21,m15_prev_color,m15_prev_body_pts,m15_prev_atr_trend,m15_above_ema21,h1_prev_color,h1_prev_body_pts,h1_prev_atr_trend,h1_above_ema21
1039878963,BUY,2026-08-15T13:06:19,63016.9,2026-08-16T16:11:25,63116.96,1625.1,5.0,1.2809,21.48,10.76,4,10.0,13,Sat,444.39,1.0,None,None,None,None,None,None,None,None,None,None,None,None
1039920602,BUY,2026-08-16T16:12:16,63106.83,2026-08-16T16:16:21,63206.83,4.1,5.0,0.1497,14.69,18.72,2,10.0,16,Sun,444.39,1.0,green,29.29,rising,True,green,21.39,rising,True,green,31.1,falling,True
1039926381,SELL,2026-08-16T16:53:18,63160.97,2026-08-16T17:44:48,63060.97,51.5,5.0,0.5443,22.68,21.62,7,10.0,16,Sun,444.39,1.0,green,31.14,rising,False,red,27.89,rising,True,green,31.1,falling,True
1039969495,BUY,2026-08-16T22:58:06,62810.43,2026-08-16T23:02:14,62910.43,4.1,5.0,0.108,26.98,26.86,12,10.0,22,Sun,444.39,1.0,green,26.8,rising,True,red,61.0,rising,False,red,146.6,rising,False
1040002993,SELL,2026-08-17T00:25:07,62714.4,2026-08-17T04:52:19,63523.96,267.2,-40.48,7.9832,31.71,17.85,3,10.0,0,Mon,444.39,1.0,red,23.98,rising,False,green,9.96,rising,False,red,10.52,rising,False
1040222622,BUY,2026-08-17T10:31:19,63408.44,2026-08-17T10:43:03,63512.27,11.7,5.19,0.3306,23.88,37.94,6,10.0,10,Mon,444.39,1.0,green,15.16,rising,True,green,123.66,rising,True,red,65.6,rising,True
1040261809,SELL,2026-08-17T12:01:11,63534.51,2026-08-17T13:03:34,63434.51,62.4,5.0,0.8719,30.83,19.78,8,10.0,12,Mon,444.39,1.0,red,24.05,rising,False,red,60.13,rising,True,red,43.43,falling,True
1040326074,BUY,2026-08-17T13:33:07,63631.78,2026-08-17T14:51:53,63731.78,78.8,5.0,1.1958,36.55,34.84,4,10.0,13,Mon,444.39,1.0,green,71.27,rising,True,red,67.84,rising,False,red,81.86,falling,True
1040437809,SELL,2026-08-17T16:18:18,64025.74,2026-08-17T17:16:35,63924.84,58.3,5.05,0.9238,25.85,24.66,14,10.0,16,Mon,256.1,1.0,red,5.41,falling,False,red,126.08,rising,True,green,321.14,rising,True
1040455539,SELL,2026-08-17T17:17:13,63939.14,2026-08-19T15:05:46,66353.38,2748.6,-120.71,117.6955,26.09,98.08,11,10.0,17,Mon,255.76,1.0,red,17.7,rising,False,red,127.61,falling,True,red,82.37,falling,True
