market,report_date,usable_from,open_interest,nc_long,nc_short,nc_spread,c_long,c_short,nr_long,nr_short
gold,1986-01-15,1986-01-17,148186,18589,7706,12038,80962,89990,36597,38452
gold,1986-01-31,1986-01-31,144149,15364,9303,10088,82262,85250,36435,39508
gold,1986-02-14,1986-02-14,139995,5457,12229,10330,94830,76735,29378,40701
gold,1986-02-28,1986-02-28,143752,7991,12222,13205,94126,76200,28430,42125
gold,1986-03-14,1986-03-14,142868,12637,11015,11390,85925,78653,32916,41810
gold,1986-03-31,1986-04-04,136568,9817,11406,6002,88897,67171,31852,51989
gold,1986-04-15,1986-04-18,138825,6805,20416,3121,99640,67997,29259,47291
gold,1986-04-30,1986-05-02,132088,8159,10519,3987,88769,72810,31173,44772
gold,1986-05-15,1986-05-16,132147,4649,10375,7467,94944,71660,25087,42645
gold,1986-05-30,1986-05-30,115038,4982,13683,5535,78662,56902,25859,38918
gold,1986-06-13,1986-06-13,115960,11657,10839,5447,69558,66942,29298,32732
gold,1986-06-30,1986-07-04,120954,5361,13631,5988,88561,62551,21044,38784
gold,1986-07-15,1986-07-18,121925,6735,11983,5771,86078,67675,23341,36496
gold,1986-07-31,1986-08-01,125988,18617,9540,6294,69897,71940,31180,38214
gold,1986-08-15,1986-08-15,134903,23234,10589,7013,67333,82453,37323,34848
gold,1986-08-29,1986-08-29,136959,23229,10291,7561,69541,84510,36628,34597
gold,1986-09-15,1986-09-19,149809,24807,10423,12560,69388,95797,43054,31029
gold,1986-09-30,1986-10-03,136574,22421,7840,11149,57513,85239,45491,32346
gold,1986-10-15,1986-10-17,147411,21274,10239,9744,70584,89512,45809,37916
gold,1986-10-31,1986-10-31,146778,12673,9373,8897,79221,90456,45987,38052
gold,1986-11-14,1986-11-14,150800,15816,11905,6141,86136,94132,42707,38622
gold,1986-11-28,1986-11-28,131679,10148,8849,5360,79143,81278,37028,36192
gold,1986-12-15,1986-12-19,134005,13089,11027,6366,76757,80007,37793,36605
gold,1986-12-31,1987-01-02,140744,9405,8347,8187,81948,86647,41204,37563
gold,1987-01-15,1987-01-16,139318,14063,8147,6306,68344,87902,50605,36963
gold,1987-01-30,1987-01-30,130078,13453,9022,7277,62992,78194,46356,35585
gold,1987-02-13,1987-02-13,138130,7705,14024,6614,81749,77255,42062,40237
gold,1987-02-27,1987-02-27,140016,7349,12273,6910,81851,85616,43906,35217
gold,1987-03-13,1987-03-13,145109,10654,10265,7238,79189,87238,48028,40368
gold,1987-03-31,1987-04-03,156832,18464,10076,8573,74906,104113,54889,34070
gold,1987-04-15,1987-04-17,171395,27260,9006,9615,67566,111648,66954,41126
gold,1987-04-30,1987-05-01,175437,24684,12933,9593,64600,104305,76560,48606
gold,1987-05-15,1987-05-15,170819,32997,6294,11069,55854,126196,70899,27260
gold,1987-05-29,1987-05-29,150964,24267,8705,12531,56420,86818,57746,42910
gold,1987-06-15,1987-06-19,149219,20380,11899,14787,57458,83188,56594,39345
gold,1987-06-30,1987-07-03,146960,15476,11621,16824,63817,78120,50843,40395
gold,1987-07-15,1987-07-17,146076,16101,7483,14324,60840,85807,54811,38462
gold,1987-07-31,1987-07-31,150523,23945,6857,12929,60306,102966,53343,27771
gold,1987-08-14,1987-08-14,150693,18612,10402,13257,63626,95033,55198,32001
gold,1987-08-31,1987-09-04,148815,16503,15979,13017,69761,86279,49534,33540
gold,1987-09-15,1987-09-18,146895,16196,12249,12591,70143,93238,47965,28817
gold,1987-09-30,1987-10-02,142634,17083,9981,12216,64861,86977,48474,33460
gold,1987-10-15,1987-10-16,143498,19848,7101,13894,61354,91228,48402,31275
gold,1987-10-30,1987-10-30,133422,15243,9416,14070,65767,80209,38342,29727
gold,1987-11-13,1987-11-13,132803,10867,9427,13482,77616,76183,30838,33711
gold,1987-11-30,1987-12-04,152206,24270,8453,15330,72663,92561,39943,35862
gold,1987-12-15,1987-12-18,158831,20912,9291,16825,81462,96123,39632,36592
gold,1987-12-31,1988-01-01,150106,14523,9354,15990,85947,89586,33646,35176
gold,1988-01-15,1988-01-15,146350,13275,9794,13696,82475,80747,36904,42113
gold,1988-01-29,1988-01-29,146192,9803,19037,12773,93908,69580,29708,44802
gold,1988-02-12,1988-02-12,150569,3759,26630,9589,106136,69098,31085,45252
gold,1988-02-29,1988-03-04,158223,4067,29807,8455,90624,74906,55077,45055
gold,1988-03-15,1988-03-18,161792,6054,23501,11205,92072,82814,52461,44272
gold,1988-03-31,1988-04-01,148310,5401,24023,8840,79820,75633,54249,39814
gold,1988-04-15,1988-04-15,156961,5491,24441,11750,87218,82172,52502,38598
gold,1988-04-29,1988-04-29,154184,2580,19679,10338,117459,84352,23807,39815
gold,1988-05-13,1988-05-13,153681,4835,13402,11580,113514,86621,23752,42078
gold,1988-05-31,1988-06-03,146461,8320,11067,12734,89780,82730,35627,39930
gold,1988-06-15,1988-06-17,142022,7185,10455,10821,86033,79009,37983,41737
gold,1988-06-30,1988-07-01,151645,4658,23026,12595,101902,71375,32490,44649
gold,1988-07-15,1988-07-15,149809,8779,22871,11364,96018,71106,33648,44468
gold,1988-07-29,1988-07-29,139382,3850,18769,8836,99489,68930,27207,42847
gold,1988-08-15,1988-08-19,139252,4761,18548,9307,96217,72158,28967,39239
gold,1988-08-31,1988-09-02,142631,4905,18415,10100,100622,76063,27004,38053
gold,1988-09-15,1988-09-16,155243,3567,27502,9545,109460,66481,32671,51715
gold,1988-09-30,1988-09-30,156546,4427,33064,7433,113359,73347,31327,42702
gold,1988-10-14,1988-10-14,159467,4517,33787,10310,113352,76238,31288,39132
gold,1988-10-31,1988-11-04,160894,4381,31358,10369,118197,79984,27947,39183
gold,1988-11-15,1988-11-18,148897,8125,15896,10630,101825,84867,28317,37504
gold,1988-11-30,1988-12-02,148286,5517,17263,7577,106343,82705,28849,40741
gold,1988-12-15,1988-12-16,145811,5445,17648,9398,107723,79027,23245,39738
gold,1988-12-30,1988-12-30,152731,6837,21800,11368,112108,78299,22418,41264
gold,1989-01-13,1989-01-13,163937,5233,29394,13293,118240,73501,27171,47749
gold,1989-01-31,1989-02-03,170221,5009,37911,17904,125090,67239,22218,47167
gold,1989-02-15,1989-02-17,168943,5828,32830,17013,120632,75634,25470,43466
gold,1989-02-28,1989-03-03,165774,4394,32432,16041,116638,72416,28701,44885
gold,1989-03-15,1989-03-17,165615,6347,25675,16103,108780,81707,34385,42130
gold,1989-03-31,1989-03-31,163649,3422,33947,15505,120884,71844,23838,42353
gold,1989-04-14,1989-04-14,158340,6079,29001,15817,106915,69206,29529,44316
gold,1989-04-28,1989-04-28,168488,2448,32920,18276,121679,70134,26085,47158
gold,1989-05-15,1989-05-19,188114,6010,30245,16420,136797,87394,28887,54055
gold,1989-05-31,1989-06-02,179513,3414,28885,13509,139249,86952,23341,50167
gold,1989-06-15,1989-06-16,163699,5891,24023,13325,121475,85527,23008,40824
gold,1989-06-30,1989-06-30,157858,8381,21462,12453,111938,86700,25086,37243
gold,1989-07-14,1989-07-14,154241,7662,19453,13567,105367,81687,27645,39534
gold,1989-07-31,1989-08-04,148279,3696,18587,13920,107310,71153,23353,44619
gold,1989-08-15,1989-08-18,147488,6197,20394,14160,104463,75201,22668,37733
gold,1989-08-31,1989-09-01,156595,3477,28851,14262,117348,71879,21508,41603
gold,1989-09-15,1989-09-15,154493,10113,23924,13170,104836,73183,26374,44216
gold,1989-09-29,1989-09-29,147468,5134,16802,13553,97489,82389,31292,34724
gold,1989-10-13,1989-10-13,143681,3906,20467,13857,103066,75001,22852,34356
gold,1989-10-31,1989-11-03,151142,15567,12768,14529,84825,90281,36221,33564
gold,1989-11-15,1989-11-17,153379,22440,9204,13667,71252,95573,46020,34935
gold,1989-11-30,1989-12-01,147759,28985,11049,13907,58418,89124,46449,33679
gold,1989-12-15,1989-12-15,156019,30438,8513,14939,62011,97361,48631,35206
gold,1989-12-29,1989-12-29,150931,22982,8581,15233,74736,91444,37980,35673
gold,1990-01-15,1990-01-19,149393,21782,5238,15746,65795,93951,46070,34458
gold,1990-01-31,1990-02-02,131994,13694,7321,16174,58218,76338,43908,32161
gold,1990-02-15,1990-02-16,130564,20315,5565,12665,53767,76179,43817,36155
gold,1990-02-28,1990-03-02,121920,11965,8989,12390,57161,63372,40404,37169
gold,1990-03-15,1990-03-16,132871,13967,18303,11472,65716,66537,41716,36559
gold,1990-03-30,1990-03-30,116812,9414,21463,9224,66504,50523,31670,35602
gold,1990-04-12,1990-04-13,118177,7110,21181,8860,73591,56269,28616,31867
gold,1990-04-30,1990-05-04,123601,6364,20632,7917,80985,59142,28335,35910
gold,1990-05-15,1990-05-18,118492,5297,19403,7834,75378,52444,29983,38811
gold,1990-05-31,1990-06-01,104625,5233,18710,7787,63869,44851,27736,33277
gold,1990-06-15,1990-06-15,117247,4110,26452,7378,80735,46810,25024,36607
gold,1990-06-29,1990-06-29,112142,4316,20190,7250,73148,50545,27428,34157
gold,1990-07-13,1990-07-13,107275,5878,15214,8213,64335,52652,28849,31196
gold,1990-07-31,1990-08-03,98923,8016,5875,8805,50139,56633,31963,27610
gold,1990-08-15,1990-08-17,125895,23830,7522,9581,43347,75837,49137,32955
gold,1990-08-31,1990-08-31,123147,20892,10597,9128,50615,74660,42512,28762
gold,1990-09-14,1990-09-14,113077,13775,7718,9579,55320,66701,34403,29079
gold,1990-09-28,1990-09-28,116620,24684,3187,8603,42594,81102,40739,23728
gold,1990-10-15,1990-10-19,116656,17794,9063,9502,56851,63409,32509,34682
gold,1990-10-31,1990-11-02,114534,10974,9392,11086,61123,60718,31351,33338
gold,1990-11-15,1990-11-16,111194,5893,8204,8323,66635,61633,30343,33034
gold,1990-11-30,1990-11-30,101946,7264,6135,8618,58680,59946,27384,27247
gold,1990-12-14,1990-12-14,111586,4781,10532,9108,75789,60314,21908,31632
gold,1990-12-31,1991-01-04,107610,9228,4426,10125,60179,70360,28078,22699
gold,1991-01-15,1991-01-18,118173,17648,6122,7647,53902,78605,38976,25799
gold,1991-01-31,1991-02-01,93496,2044,14302,4645,62619,44343,24188,30206
gold,1991-02-15,1991-02-15,95750,2515,16880,5666,66286,42163,21283,31041
gold,1991-02-28,1991-03-01,98025,1612,16447,5212,68140,42842,23061,33524
gold,1991-03-15,1991-03-15,98708,3111,14868,5314,64098,48855,26185,29671
gold,1991-03-28,1991-03-29,102541,1724,21208,6191,72228,39820,22398,35322
gold,1991-04-15,1991-04-19,97290,4002,18163,6407,65132,43436,21749,29284
gold,1991-04-30,1991-05-03,108217,4300,25710,6487,76391,44499,21039,31521
