ts_utc,ts_ms,open_interest,contract_volume,long_short,taker_buy,taker_sell,funding_okx
2026-07-02T00:00:00+00:00,1782950400000,2487510489.3226,304048382.5586,1.73,174043750.4636,128947241.7185,9.0342275479e-05
2026-07-02T01:00:00+00:00,1782954000000,2470493673.0896,353327960.1777,1.81,177814141.25,174021279.5225,9.0342275479e-05
2026-07-02T02:00:00+00:00,1782957600000,2478013630.3585,318253837.4056,1.88,144744608.02,173508033.2597,9.0342275479e-05
2026-07-02T03:00:00+00:00,1782961200000,2484730430.8608,227608263.6667,1.84,116835072.933,110773190.7337,9.0342275479e-05
2026-07-02T04:00:00+00:00,1782964800000,2462981820.276,496539508.1484,1.78,230319598.2908,266219909.8576,9.0342275479e-05
2026-07-02T05:00:00+00:00,1782968400000,2465308976.1698,252579746.8673,1.65,142855649.9884,109720221.3518,9.0342275479e-05
2026-07-02T06:00:00+00:00,1782972000000,2468539601.6897,270212481.7834,1.67,161053277.8975,108895265.4159,9.0342275479e-05
2026-07-02T07:00:00+00:00,1782975600000,2459158139.7169,292673205.1431,1.75,144685605.8362,147802802.1191,9.0342275479e-05
2026-07-02T08:00:00+00:00,1782979200000,2474888703.7115,300660974.264,1.83,138959007.0458,161275323.3535,0.0001
2026-07-02T09:00:00+00:00,1782982800000,2487059133.9528,284660276.4349,1.93,115402245.9614,169258030.4735,0.0001
2026-07-02T10:00:00+00:00,1782986400000,2468263789.67,872748328.174,1.77,399904006.8479,472844236.2101,0.0001
2026-07-02T11:00:00+00:00,1782990000000,2472570000.5703,316584314.5518,1.68,162244422.6007,154339561.5881,0.0001
2026-07-02T12:00:00+00:00,1782993600000,2478112935.6528,245441807.6479,1.64,106031274.9614,139410140.1681,0.0001
2026-07-02T13:00:00+00:00,1782997200000,2469682475.3255,583153990.1336,1.64,259494148.3831,323611780.9768,0.0001
2026-07-02T14:00:00+00:00,1783000800000,2479434498.9915,1087687849.1792,1.58,503606249.606,583971144.5665,0.0001
2026-07-02T15:00:00+00:00,1783004400000,2481579482.2706,763304828.9971,1.52,396866492.3805,364528209.8848,0.0001
2026-07-02T16:00:00+00:00,1783008000000,2488436196.0538,281140599.412,1.52,148202411.1709,132323946.2411,3.11543020607e-05
2026-07-02T17:00:00+00:00,1783011600000,2489985599.0468,599727878.2085,1.56,276666794.5647,317247827.1828,3.11543020607e-05
2026-07-02T18:00:00+00:00,1783015200000,2518466147.4398,232180980.4243,1.54,107785355.6869,124395624.7374,3.11543020607e-05
2026-07-02T19:00:00+00:00,1783018800000,2518897545.9849,86991368.7868,1.53,40906503.8884,46084864.8984,3.11543020607e-05
2026-07-02T20:00:00+00:00,1783022400000,2535420870.7856,199532544.9895,1.53,113795340.1932,85669057.8023,3.11543020607e-05
2026-07-02T21:00:00+00:00,1783026000000,2533098077.1076,141451220.0133,1.55,57126110.6179,84167267.7822,3.11543020607e-05
2026-07-02T22:00:00+00:00,1783029600000,2534478079.9779,68021405.8217,1.54,31915685.6558,36105720.1658,3.11543020607e-05
2026-07-02T23:00:00+00:00,1783033200000,2533805761.7557,58223627.7699,1.51,31126993.2655,27096634.5045,3.11543020607e-05
2026-07-03T00:00:00+00:00,1783036800000,2529998686.5997,80487309.6473,1.52,40376969.4027,40110266.6275,0.0001
2026-07-03T01:00:00+00:00,1783040400000,2556141076.297,165442805.8664,1.53,89917320.3406,75329341.479,0.0001
2026-07-03T02:00:00+00:00,1783044000000,2552283196.8936,171245385.0647,1.62,72416488.1759,98828896.8888,0.0001
2026-07-03T03:00:00+00:00,1783047600000,2560195764.6506,146175898.4463,1.64,74682160.8787,70654692.255,0.0001
2026-07-03T04:00:00+00:00,1783051200000,2544666271.0923,156090566.5434,1.64,83793039.784,72297526.7594,0.0001
2026-07-03T05:00:00+00:00,1783054800000,2565969919.1978,136457827.1812,1.65,54936308.5763,81521518.6049,0.0001
2026-07-03T06:00:00+00:00,1783058400000,2557513684.5027,169784095.2586,1.65,89055786.8073,80728308.4513,0.0001
2026-07-03T07:00:00+00:00,1783062000000,2547123527.5999,168806146.6265,1.63,100973097.6331,67833048.9934,0.0001
2026-07-03T08:00:00+00:00,1783065600000,2558553046.6331,109424229.5911,1.63,56317259.4412,53106970.1499,0.0001
2026-07-03T09:00:00+00:00,1783069200000,2564576889.2148,161261917.6042,1.62,75875602.1865,85364932.6423,0.0001
2026-07-03T10:00:00+00:00,1783072800000,2558857160.2836,129642389.6776,1.63,63323843.9657,66297050.3224,0.0001
2026-07-03T11:00:00+00:00,1783076400000,2554063179.0197,222462261.0238,1.62,96508169.6284,125954091.3954,0.0001
2026-07-03T12:00:00+00:00,1783080000000,2568169101.1087,185974724.6933,1.6,88842600.8954,97132123.7979,0.0001
2026-07-03T13:00:00+00:00,1783083600000,2565174996.9825,227276072.9263,1.62,110711772.8021,116564300.1242,0.0001
2026-07-03T14:00:00+00:00,1783087200000,2559797421.4258,195111604.5016,1.64,91653769.233,103457835.2686,0.0001
2026-07-03T15:00:00+00:00,1783090800000,2567604544.8565,331527546.9566,1.59,168697970.8804,161863549.3264,0.0001
2026-07-03T16:00:00+00:00,1783094400000,2581889584.3978,424706393.07,1.57,230454830.2095,194040948.2115,5.38283058701e-05
2026-07-03T17:00:00+00:00,1783098000000,2578919419.9074,150361546.209,1.51,76976312.3917,73385233.8173,5.38283058701e-05
2026-07-03T18:00:00+00:00,1783101600000,2595388210.0562,133904968.091,1.48,66870578.5709,67034389.5201,5.38283058701e-05
2026-07-03T19:00:00+00:00,1783105200000,2593681618.4004,72800641.7382,1.48,44146308.37,28654333.3682,5.38283058701e-05
2026-07-03T20:00:00+00:00,1783108800000,2592976723.4052,90657119.9435,1.48,42001729.2738,48655316.0393,5.38283058701e-05
2026-07-03T21:00:00+00:00,1783112400000,2520142261.6917,649803573.0499,1.52,276354901.4919,373448432.7652,5.38283058701e-05
2026-07-03T22:00:00+00:00,1783116000000,2524342883.203,261257736.9608,1.53,133640206.2198,127609071.3087,5.38283058701e-05
2026-07-03T23:00:00+00:00,1783119600000,2528740328.7141,97068113.5766,1.52,49675076.8074,47393036.7692,5.38283058701e-05
