ts,utc,open,high,low,close
1616544000000,2021-03-24T00:00,94.18,94.3,93.68,93.86
1616547600000,2021-03-24T01:00,93.86,94.65,93.77,94.35
1616551200000,2021-03-24T02:00,94.35,97.26,94.25,94.65
1616554800000,2021-03-24T03:00,94.65,95.07,94.54,95.07
1616558400000,2021-03-24T04:00,95.07,95.07,94.16,94.18
1616562000000,2021-03-24T05:00,94.18,94.38,93.39,93.41
1616565600000,2021-03-24T06:00,93.41,93.95,93.41,93.76
1616569200000,2021-03-24T07:00,93.76,93.87,93.07,93.2
1616572800000,2021-03-24T08:00,93.19,93.86,93.14,93.24
1616576400000,2021-03-24T09:00,93.24,93.98,93.24,93.79
1616580000000,2021-03-24T10:00,93.79,93.82,93.24,93.41
1616583600000,2021-03-24T11:00,93.41,94.21,93.38,94.13
1616587200000,2021-03-24T12:00,94.13,94.68,93.91,94.64
1616590800000,2021-03-24T13:00,94.64,94.78,94.23,94.23
1616594400000,2021-03-24T14:00,94.23,94.23,92.67,93.16
1616598000000,2021-03-24T15:00,93.16,93.51,93.05,93.35
1616601600000,2021-03-24T16:00,93.35,93.55,93.17,93.54
1616605200000,2021-03-24T17:00,93.54,93.83,93.47,93.6
1616608800000,2021-03-24T18:00,93.59,93.99,93.47,93.47
1616612400000,2021-03-24T19:00,93.46,94.56,93.23,94.47
1616616000000,2021-03-24T20:00,94.48,102.95,94.48,102.87
1616619600000,2021-03-24T21:00,102.86,103.64,101.67,101.94
1616623200000,2021-03-24T22:00,101.94,105.91,101.91,105.43
1616626800000,2021-03-24T23:00,105.42,106.94,103.11,106.73
1616630400000,2021-03-25T00:00,106.73,107.71,105.03,107.62
1616634000000,2021-03-25T01:00,107.62,108.26,107.44,108.03
1616637600000,2021-03-25T02:00,108.03,109.35,107.9,108.19
1616641200000,2021-03-25T03:00,108.19,108.39,107.86,108.1
1616644800000,2021-03-25T04:00,108.1,108.79,107.99,108.63
1616648400000,2021-03-25T05:00,108.64,108.94,108.35,108.45
1616652000000,2021-03-25T06:00,108.45,109.17,108.45,108.73
1616655600000,2021-03-25T07:00,108.73,108.75,108.04,108.26
1616659200000,2021-03-25T08:00,108.25,108.36,105.45,106.46
1616662800000,2021-03-25T09:00,106.46,106.63,106.36,106.46
1616666400000,2021-03-25T10:00,106.46,106.46,104.57,105.07
1616670000000,2021-03-25T11:00,105.07,105.18,104.87,105.01
1616673600000,2021-03-25T12:00,105.01,105.01,103.17,105.01
1616677200000,2021-03-25T13:00,105.01,105.19,104.37,104.65
1616680800000,2021-03-25T14:00,104.65,104.7,102.14,104.6
1616684400000,2021-03-25T15:00,104.6,104.93,104.43,104.76
1616688000000,2021-03-25T16:00,104.76,104.97,104.24,104.41
1616691600000,2021-03-25T17:00,104.41,104.68,104.27,104.6
1616695200000,2021-03-25T18:00,104.6,104.71,102.0,104.33
1616698800000,2021-03-25T19:00,104.33,104.92,104.27,104.83
1616702400000,2021-03-25T20:00,104.83,105.11,104.73,104.75
1616706000000,2021-03-25T21:00,104.75,105.04,104.75,104.89
1616709600000,2021-03-25T22:00,104.89,105.78,104.88,105.69
1616713200000,2021-03-25T23:00,105.69,105.7,105.33,105.39
1616716800000,2021-03-26T00:00,105.38,105.88,103.36,103.47
1616720400000,2021-03-26T01:00,103.47,105.5,103.22,105.45
1616724000000,2021-03-26T02:00,105.45,105.92,105.36,105.48
1616727600000,2021-03-26T03:00,105.48,105.52,105.15,105.24
1616731200000,2021-03-26T04:00,105.24,105.38,104.85,105.03
1616734800000,2021-03-26T05:00,105.03,105.08,104.91,105.03
1616738400000,2021-03-26T06:00,105.03,105.04,102.21,102.27
1616742000000,2021-03-26T07:00,102.27,104.0,98.33,99.12
1616745600000,2021-03-26T08:00,99.14,99.22,95.67,96.5
1616749200000,2021-03-26T09:00,96.51,96.72,92.76,93.99
1616752800000,2021-03-26T10:00,93.99,95.0,92.74,93.37
1616756400000,2021-03-26T11:00,93.37,93.48,92.6,93.03
1616760000000,2021-03-26T12:00,93.03,93.57,92.85,92.93
1616763600000,2021-03-26T13:00,92.93,93.18,92.89,93.08
1616767200000,2021-03-26T14:00,93.08,93.18,92.79,92.86
1616770800000,2021-03-26T15:00,92.86,92.91,91.38,91.47
1616774400000,2021-03-26T16:00,91.47,91.48,83.04,85.64
1616778000000,2021-03-26T17:00,85.65,87.06,85.47,86.65
1616781600000,2021-03-26T18:00,86.66,87.11,86.58,87.02
1616785200000,2021-03-26T19:00,87.02,87.16,86.82,87.16
1616788800000,2021-03-26T20:00,87.16,88.05,87.06,88.0
1616792400000,2021-03-26T21:00,87.99,88.56,87.6,88.55
1616796000000,2021-03-26T22:00,88.55,90.08,88.55,89.96
1616799600000,2021-03-26T23:00,89.97,90.27,89.82,90.27
1616803200000,2021-03-27T00:00,90.28,90.67,89.6,89.95
1616806800000,2021-03-27T01:00,89.95,90.13,89.76,89.91
1616810400000,2021-03-27T02:00,89.91,90.17,89.56,89.62
1616814000000,2021-03-27T03:00,89.62,89.82,87.58,87.58
1616817600000,2021-03-27T04:00,87.58,87.73,87.35,87.54
1616821200000,2021-03-27T05:00,87.54,87.79,87.35,87.48
1616824800000,2021-03-27T06:00,87.49,87.64,86.87,86.87
1616828400000,2021-03-27T07:00,86.87,87.27,86.87,86.93
1616832000000,2021-03-27T08:00,86.95,87.24,85.43,85.53
1616835600000,2021-03-27T09:00,85.53,85.54,85.1,85.47
1616839200000,2021-03-27T10:00,85.47,85.97,84.86,85.88
1616842800000,2021-03-27T11:00,85.87,86.3,85.51,86.21
1616846400000,2021-03-27T12:00,86.21,86.81,85.89,86.64
1616850000000,2021-03-27T13:00,86.64,87.12,86.39,87.04
