ts,utc,open,high,low,close,volume,interest_1h,interest_8h,index_price
1556618400000,2019-04-30T10:00,155.47,157.1,155.47,156.39,14460.462431,0.0,-6.417350942713147e-05,155.58
1556622000000,2019-04-30T11:00,156.39,157.55,156.09,157.37,7790.632164,-1.6372898104009878e-05,-5.48068415360555e-05,156.35
1556625600000,2019-04-30T12:00,157.36,157.36,156.45,156.95,5676.125173,-2.3293832653466215e-05,-3.649762368909827e-05,157.39
1556629200000,2019-04-30T13:00,156.94,157.95,156.15,157.44,13070.393164,-4.1988935726395204e-05,-7.548268706579994e-05,157.04
1556632800000,2019-04-30T14:00,157.39,158.22,156.25,156.78,9812.503039,-3.653013097884493e-05,-0.00010433229593185746,157.51
1556636400000,2019-04-30T15:00,156.77,157.06,156.04,156.99,5992.535028,-7.531512951794115e-05,-0.00017666352239250404,156.87
1556640000000,2019-04-30T16:00,157.03,157.03,156.19,156.68,4069.054033,-5.420589619058659e-05,-0.00022856995035521903,157.22
1556643600000,2019-04-30T17:00,156.67,157.07,156.32,156.77,2523.623553,-5.731263140279278e-05,-0.0003064593560357616,156.8
1556647200000,2019-04-30T18:00,156.69,156.91,156.26,156.47,1323.180785,-3.1571146636674496e-05,-0.0003334412948762769,156.78
1556650800000,2019-04-30T19:00,156.45,156.7,156.0,156.0,1997.261293,-7.072858719106447e-05,-0.0003891722388643719,156.64
1556654400000,2019-04-30T20:00,156.02,156.75,155.86,156.38,3009.149142,-2.626021644030961e-05,-0.0003946980849248888,156.1
1556658000000,2019-04-30T21:00,156.39,157.74,156.33,157.5,1958.380167,8.00418238895882e-07,-0.00035111956712067084,156.44
1556661600000,2019-04-30T22:00,157.5,161.28,157.46,160.3,23883.122819,1.203356537146391e-06,-0.00031431937370265207,157.55
1556665200000,2019-04-30T23:00,160.36,160.51,159.56,160.35,2727.182553,-2.619742269600985e-06,-0.00024064154922023284,160.44
1556668800000,2019-05-01T00:00,160.25,162.85,160.22,161.49,12219.494647,-1.3458030023169258e-06,-0.00018817041133648997,160.36
1556672400000,2019-05-01T01:00,161.48,161.8,160.69,160.7,7540.721622,-5.076480019027456e-06,-0.00013547198629558494,161.61
1556676000000,2019-05-01T02:00,160.7,161.37,160.63,160.82,2286.525675,-6.768839309768658e-05,-0.00016955299303912554,160.74
1556679600000,2019-05-01T03:00,160.83,160.83,160.0,160.29,3844.353082,-6.505732019073422e-05,-0.0001621340596891737,161.06
1556683200000,2019-05-01T04:00,160.26,160.29,159.09,159.65,5506.680084,-7.229039687749474e-05,-0.00020546957590297365,160.45
1556686800000,2019-05-01T05:00,159.68,160.01,159.61,159.61,1044.705475,-5.021945717409501e-05,-0.0002556836309368326,159.77
1556690400000,2019-05-01T06:00,159.61,160.44,159.6,160.44,2539.089196,-2.1374594641381246e-05,-0.00027978729142320093,159.74
1556694000000,2019-05-01T07:00,160.44,160.45,160.06,160.15,1021.313999,-5.309170121723275e-06,-0.00028758417522490773,160.49
1556697600000,2019-05-01T08:00,160.16,160.16,158.3,158.89,11745.18962,-3.5280944830389776e-06,-0.0002896208821932304,160.23
1556701200000,2019-05-01T09:00,158.88,159.11,158.57,158.93,1588.32661,1.967704431791221e-06,-0.00028477776326673367,158.88
1556704800000,2019-05-01T10:00,158.94,159.07,158.45,159.07,1708.801863,-3.855915040347799e-06,-0.00021982176243763682,159.0
1556708400000,2019-05-01T11:00,159.06,159.64,158.96,159.41,2636.983248,-1.0675077184116893e-05,-0.0001658859293663996,159.04
1556712000000,2019-05-01T12:00,159.42,159.49,157.89,158.73,7801.663502,-1.191687286839231e-05,-0.00010526357219980128,159.46
1556715600000,2019-05-01T13:00,158.75,158.75,157.69,158.73,5987.807717,-1.2470337810271308e-05,-6.730541455098331e-05,158.7
1556719200000,2019-05-01T14:00,158.73,158.8,158.2,158.4,2140.056067,2.611938812912929e-06,-4.329313999507271e-05,158.54
1556722800000,2019-05-01T15:00,158.41,158.76,158.16,158.47,3324.723457,2.8777305963846754e-06,-3.524918361372009e-05,158.36
1556726400000,2019-05-01T16:00,158.49,159.29,158.49,158.66,4114.105551,1.804519502049328e-07,-3.1487116917022496e-05,158.56
1556730000000,2019-05-01T17:00,158.75,160.5,158.69,160.25,7178.304127,-6.000953307033504e-06,-3.918601569340758e-05,158.85
1556733600000,2019-05-01T18:00,160.21,160.21,158.53,158.76,10499.643777,-3.392318278760012e-06,-3.8752306620137074e-05,160.25
1556737200000,2019-05-01T19:00,158.76,158.76,156.45,157.4,7662.669754,-2.3224758694669626e-05,-5.1133688352058445e-05,158.74
1556740800000,2019-05-01T20:00,157.39,157.65,157.0,157.49,2712.758076,-9.85711272918573e-06,-4.9222202838075496e-05,157.43
1556744400000,2019-05-01T21:00,157.49,157.67,156.57,157.09,2461.694702,-5.478546681653954e-06,-4.209944503732068e-05,157.55
1556748000000,2019-05-01T22:00,157.11,157.33,156.84,157.33,614.950417,-5.392890467095433e-05,-9.893408498893677e-05,157.13
1556751600000,2019-05-01T23:00,157.33,158.71,157.33,158.22,7727.425034,-9.538234501930882e-06,-0.00011130912147956411,157.39
1556755200000,2019-05-02T00:00,158.19,158.43,157.52,157.74,4003.61598,-2.273615637699549e-05,-0.00013453555023108216,158.29
1556758800000,2019-05-02T01:00,157.78,158.24,157.68,157.87,2084.525217,-2.5717767370770573e-05,-0.00015457843359775289,157.77
1556762400000,2019-05-02T02:00,157.86,158.48,157.86,158.02,1901.13341,-2.0066927790712346e-06,-0.00015455680700509868,158.1
1556766000000,2019-05-02T03:00,158.02,159.02,158.02,158.84,2485.049869,-3.411836206512851e-06,-0.00013352018327910073,158.05
1556769600000,2019-05-02T04:00,158.85,158.85,158.13,158.39,3354.477233,3.0539798011644576e-06,-0.00011960054288041648,158.76
1556773200000,2019-05-02T05:00,158.38,158.95,158.29,158.8,1328.668295,-2.8002423540251344e-07,-0.00011448687496466295,158.37
1556776800000,2019-05-02T06:00,158.81,158.95,158.55,158.92,2497.225934,3.486606769998302e-06,-5.693722616689514e-05,158.73
1556780400000,2019-05-02T07:00,158.96,159.82,158.96,159.23,5588.738314,8.011453416082805e-07,-4.668303980231904e-05,158.96
1556784000000,2019-05-02T08:00,159.26,159.67,159.07,159.51,2300.896088,1.6248529785751311e-06,-2.2465814005397625e-05,159.14
1556787600000,2019-05-02T09:00,159.53,159.64,158.24,158.33,3431.009791,4.385984540074878e-06,7.5896018847850435e-06,159.51
1556791200000,2019-05-02T10:00,158.36,158.75,158.28,158.28,2114.349684,1.5862480850288034e-07,9.773688865665907e-06,158.36
1556794800000,2019-05-02T11:00,158.28,158.58,158.21,158.52,4049.443686,1.259162031100657e-06,1.4437952792103033e-05,158.26
1556798400000,2019-05-02T12:00,158.47,158.51,157.9,157.9,2577.105022,5.432145116217355e-06,1.6884419842951698e-05,158.39
1556802000000,2019-05-02T13:00,157.91,158.2,155.79,158.19,15655.001055,-6.169742652697163e-09,1.7116110002699156e-05,157.94
1556805600000,2019-05-02T14:00,158.2,158.2,157.31,157.76,8289.259448,-1.4627608791893092e-06,1.2190407782182292e-05,158.06
1556809200000,2019-05-02T15:00,157.76,158.61,157.76,158.5,7254.552014,-1.889412301291712e-05,-7.595941411258726e-06,157.87
1556812800000,2019-05-02T16:00,158.5,158.63,157.11,157.31,5220.913711,-1.1084928595716401e-05,-2.0405443849097438e-05,158.57
1556816400000,2019-05-02T17:00,157.33,157.88,157.33,157.67,2239.108621,-2.1703556130065642e-05,-4.668128278795323e-05,157.43
1556820000000,2019-05-02T18:00,157.71,157.77,157.15,157.15,1139.597323,-3.329420026061962e-06,-4.9851299766522356e-05,157.76
1556823600000,2019-05-02T19:00,157.1,158.03,157.02,157.65,2252.57848,-3.396785662796487e-05,-8.515370031610359e-05,157.16
1556827200000,2019-05-02T20:00,157.69,159.39,157.4,159.05,4673.228632,-8.343821272449524e-07,-9.150116799409893e-05,157.73
1556830800000,2019-05-02T21:00,159.05,160.63,158.94,159.15,6470.407614,3.117846676479363e-06,-8.811305512494197e-05,159.05
1556834400000,2019-05-02T22:00,159.13,159.68,158.88,159.46,2689.236921,3.7683073161155957e-06,-8.297127795001969e-05,159.12
1556838000000,2019-05-02T23:00,159.39,159.67,158.44,158.44,3617.470204,-1.422699445897882e-06,-6.541165251752057e-05,159.36
1556841600000,2019-05-03T00:00,158.51,158.99,157.64,158.49,9580.257416,-1.9273600264714464e-05,-7.374566481777069e-05,158.69
1556845200000,2019-05-03T01:00,158.47,160.02,158.47,159.44,4378.007615,-1.3415240230663466e-05,-6.497668785675834e-05,158.39
1556848800000,2019-05-03T02:00,159.42,160.56,159.19,159.7,4148.930275,4.960146059369583e-06,-5.6836074007027295e-05,159.47
1556852400000,2019-05-03T03:00,159.66,159.71,159.05,159.07,1598.163283,1.0411176894165564e-06,-2.1755207339027807e-05,159.75
1556856000000,2019-05-03T04:00,159.08,160.49,158.91,159.55,4925.099078,-1.5752698739710163e-05,-3.655021215820988e-05,159.1
1556859600000,2019-05-03T05:00,159.6,159.8,159.38,159.6,2042.277225,-3.5262689424368753e-06,-4.3525190913108924e-05,159.6
1556863200000,2019-05-03T06:00,159.6,161.88,159.6,160.3,17034.319364,-4.339838754299993e-07,-4.774699138151025e-05,159.68
1556866800000,2019-05-03T07:00,160.3,161.19,160.26,160.5,9628.833741,-4.558153219830334e-06,-5.0943181306753245e-05,160.42
1556870400000,2019-05-03T08:00,160.5,161.38,160.15,160.81,10556.565382,-9.661148477218098e-07,-3.2492128155754895e-05,160.5
1556874000000,2019-05-03T09:00,160.78,169.44,160.53,166.74,70997.588192,-3.251004767931088e-08,-1.9072906139630394e-05,160.65
1556877600000,2019-05-03T10:00,166.74,167.02,165.13,165.51,11294.077611,3.049110606606925e-05,6.0702197407089996e-06,166.95
1556881200000,2019-05-03T11:00,165.69,166.62,165.5,166.0,4900.831804,-7.921605348801404e-06,-2.542040543263178e-06,165.43
1556884800000,2019-05-03T12:00,166.0,167.32,166.0,167.0,6457.814156,7.190722001288699e-06,2.0072482711878973e-05,165.91
1556888400000,2019-05-03T13:00,167.01,167.27,166.59,166.86,4514.903307,-7.2822188792068e-07,2.297238925521584e-05,167.07
1556892000000,2019-05-03T14:00,166.85,167.17,166.43,166.8,7145.293142,-2.1320647627340982e-06,2.1380348413135113e-05,166.91
1556895600000,2019-05-03T15:00,166.73,166.73,165.82,166.44,4646.172984,5.896592720855094e-06,3.1726021762004756e-05,166.58
1556899200000,2019-05-03T16:00,166.44,166.85,165.91,166.18,4383.038083,2.3082770596327786e-05,5.4948712908179155e-05,166.27
1556902800000,2019-05-03T17:00,166.18,166.5,164.37,165.32,15607.218221,8.12261651439668e-05,0.00013351324894183246,165.97
1556906400000,2019-05-03T18:00,165.32,165.7,164.72,165.44,4499.831334,8.158644752252863e-05,0.0001891309437613961,165.17
1556910000000,2019-05-03T19:00,165.43,165.7,164.93,165.57,3067.150173,4.175705316180489e-05,0.00023708078590107311,165.33
1556913600000,2019-05-03T20:00,165.58,166.42,165.58,166.14,5132.407542,3.9237531064436103e-05,0.00026993227829702493,165.49
1556917200000,2019-05-03T21:00,166.14,166.14,165.17,165.98,3336.037206,5.714332517521177e-05,0.0003302417843353872,165.92
1556920800000,2019-05-03T22:00,165.99,165.99,165.0,165.41,3793.436692,5.473798784856746e-05,0.0003871201352048312,165.81
1556924400000,2019-05-03T23:00,165.4,165.4,164.7,165.05,1909.55434,8.184076637210173e-05,0.00046269064451426805,165.17
1556928000000,2019-05-04T00:00,165.03,167.75,164.98,167.1,21837.991497,0.00011266098071898506,0.0005522005689684409,164.76
1556931600000,2019-05-04T01:00,167.02,168.52,166.42,167.9,9261.896314,4.090836688435988e-05,0.0005113339148937482,167.02
1556935200000,2019-05-04T02:00,167.68,167.68,166.31,166.59,3947.156825,-3.877887847559047e-05,0.00038932623800917406,167.72
1556938800000,2019-05-04T03:00,166.53,166.62,163.7,164.79,8383.460166,-2.9175853039774442e-06,0.00034503030461204855,166.45
1556942400000,2019-05-04T04:00,164.69,164.69,160.11,162.48,19795.641736,-2.0362895273125283e-05,0.00028584325568404916,164.8
