symbol,iso_year,iso_week,open,high,low,close,tick_volume,spread_median_points,spread_max_points,n_days,week_start,week_end,days_with_gap,complete_week
USDCADm,2021,31,1.24734,1.25803,1.2452,1.25514,136497,12.0,106,5,2021-08-02,2021-08-06,0,True
USDCADm,2021,32,1.25461,1.2588599999999999,1.24886,1.25144,109107,12.0,58,5,2021-08-09,2021-08-13,0,True
USDCADm,2021,33,1.25148,1.29481,1.25104,1.28233,161780,12.0,89,5,2021-08-16,2021-08-20,0,True
USDCADm,2021,34,1.28182,1.2831000000000001,1.25778,1.26109,132812,12.0,57,5,2021-08-23,2021-08-27,0,True
USDCADm,2021,35,1.26151,1.2652999999999999,1.24928,1.25255,127660,12.0,55,5,2021-08-30,2021-09-03,0,True
USDCADm,2021,36,1.25209,1.27616,1.25187,1.2690299999999999,142299,12.0,81,5,2021-09-06,2021-09-10,0,True
USDCADm,2021,37,1.26795,1.27713,1.26004,1.27701,149082,12.0,57,5,2021-09-13,2021-09-17,0,True
USDCADm,2021,38,1.27564,1.28953,1.26327,1.26479,204638,12.0,76,5,2021-09-20,2021-09-24,0,True
USDCADm,2021,39,1.26462,1.27737,1.25928,1.26437,230728,12.0,55,5,2021-09-27,2021-10-01,0,True
USDCADm,2021,40,1.2638,1.26543,1.2450700000000001,1.24719,186271,12.0,59,5,2021-10-04,2021-10-08,0,True
USDCADm,2021,41,1.24703,1.2498,1.23357,1.23615,134240,12.0,58,5,2021-10-11,2021-10-15,0,True
USDCADm,2021,42,1.23662,1.24088,1.2286299999999999,1.23664,131622,12.0,55,5,2021-10-18,2021-10-22,0,True
USDCADm,2021,43,1.23626,1.24309,1.22992,1.23798,156569,12.0,55,5,2021-10-25,2021-10-29,0,True
USDCADm,2021,44,1.23795,1.2479,1.2351,1.24547,136565,12.0,62,5,2021-11-01,2021-11-05,0,True
USDCADm,2021,45,1.2446,1.26041,1.2386300000000001,1.25482,132430,12.0,62,5,2021-11-08,2021-11-12,0,True
USDCADm,2021,46,1.25413,1.26616,1.24919,1.264,134733,12.0,75,5,2021-11-15,2021-11-19,0,True
USDCADm,2021,47,1.26383,1.27985,1.26269,1.2781,169128,12.0,131,5,2021-11-22,2021-11-26,0,True
USDCADm,2021,48,1.27534,1.28539,1.27118,1.28451,259057,12.0,78,5,2021-11-29,2021-12-03,0,True
USDCADm,2021,49,1.2827899999999999,1.28418,1.2606899999999999,1.27214,166288,12.0,110,5,2021-12-06,2021-12-10,0,True
USDCADm,2021,50,1.27231,1.29368,1.27048,1.28929,184373,12.0,69,5,2021-12-13,2021-12-17,0,True
USDCADm,2021,51,1.2882500000000001,1.29631,1.27835,1.28031,142498,12.0,164,5,2021-12-20,2021-12-24,0,True
USDCADm,2021,52,1.28023,1.28467,1.2619500000000001,1.2641499999999999,88473,12.0,68,5,2021-12-27,2021-12-31,0,True
USDCADm,2022,1,1.26342,1.28132,1.26296,1.26427,142029,12.0,76,5,2022-01-03,2022-01-07,0,True
USDCADm,2022,2,1.2641200000000001,1.26967,1.24525,1.25475,164734,12.0,87,5,2022-01-10,2022-01-14,0,True
USDCADm,2022,3,1.25354,1.2586300000000001,1.24489,1.25805,189326,12.0,110,5,2022-01-17,2022-01-21,0,True
USDCADm,2022,4,1.25758,1.27962,1.25535,1.2765,318948,12.0,55,5,2022-01-24,2022-01-28,0,True
USDCADm,2022,5,1.27679,1.2787,1.26494,1.2763499999999999,207775,11.0,86,5,2022-01-31,2022-02-04,0,True
USDCADm,2022,6,1.27455,1.27553,1.26352,1.27347,197530,11.0,75,5,2022-02-07,2022-02-11,1,True
USDCADm,2022,7,1.27305,1.27835,1.26631,1.27532,228807,11.0,62,5,2022-02-14,2022-02-18,0,True
USDCADm,2022,8,1.27436,1.28768,1.26807,1.26996,277543,11.0,76,5,2022-02-21,2022-02-25,0,True
USDCADm,2022,9,1.27518,1.28092,1.25862,1.27271,280175,11.0,110,5,2022-02-28,2022-03-04,0,True
USDCADm,2022,10,1.2725,1.29003,1.26848,1.27487,294719,11.0,66,5,2022-03-07,2022-03-11,0,True
USDCADm,2022,11,1.27313,1.28707,1.2588300000000001,1.26023,215526,11.0,94,5,2022-03-14,2022-03-18,0,True
USDCADm,2022,12,1.26092,1.26235,1.24645,1.24757,151824,11.0,86,5,2022-03-21,2022-03-25,4,True
USDCADm,2022,13,1.24768,1.25922,1.24287,1.25123,167470,11.0,94,5,2022-03-28,2022-04-01,0,True
USDCADm,2022,14,1.25106,1.26184,1.24019,1.25708,139121,11.0,82,5,2022-04-04,2022-04-08,0,True
USDCADm,2022,15,1.25626,1.26753,1.25208,1.26032,157652,11.0,159,5,2022-04-11,2022-04-15,0,True
USDCADm,2022,16,1.26088,1.27257,1.24577,1.27096,178077,11.0,61,5,2022-04-18,2022-04-22,0,True
USDCADm,2022,17,1.27122,1.28791,1.26834,1.28564,227475,11.0,68,5,2022-04-25,2022-04-29,0,True
USDCADm,2022,18,1.28391,1.2913299999999999,1.27125,1.2907,269053,11.0,110,5,2022-05-02,2022-05-06,0,True
USDCADm,2022,19,1.29006,1.30761,1.2898100000000001,1.29053,314446,11.0,53,5,2022-05-09,2022-05-13,0,True
USDCADm,2022,20,1.2916400000000001,1.2981099999999999,1.2775400000000001,1.28352,268841,11.0,110,5,2022-05-16,2022-05-20,0,True
USDCADm,2022,21,1.28378,1.28844,1.27169,1.27203,221332,11.0,107,5,2022-05-23,2022-05-27,0,True
USDCADm,2022,22,1.2723,1.27271,1.25503,1.25931,181507,11.0,90,5,2022-05-30,2022-06-03,0,True
USDCADm,2022,23,1.25908,1.28118,1.25168,1.27847,206022,11.0,52,5,2022-06-06,2022-06-10,0,True
USDCADm,2022,24,1.27772,1.3078400000000001,1.27721,1.30268,361071,11.0,72,5,2022-06-13,2022-06-17,0,True
USDCADm,2022,25,1.3023799999999999,1.30343,1.28892,1.28922,229259,11.0,110,5,2022-06-20,2022-06-24,0,True
USDCADm,2022,26,1.28897,1.29657,1.28182,1.28824,248110,11.0,67,5,2022-06-27,2022-07-01,0,True
USDCADm,2022,27,1.28759,1.3083,1.2836400000000001,1.29363,264589,11.0,77,5,2022-07-04,2022-07-08,0,True
USDCADm,2022,28,1.2943500000000001,1.3223099999999999,1.2935699999999999,1.3022,314591,11.0,84,5,2022-07-11,2022-07-15,0,True
USDCADm,2022,29,1.30161,1.3024200000000001,1.2821500000000001,1.29141,257431,11.0,72,5,2022-07-18,2022-07-22,0,True
USDCADm,2022,30,1.29149,1.29461,1.2787899999999999,1.27945,227879,11.0,110,5,2022-07-25,2022-07-29,0,True
USDCADm,2022,31,1.28041,1.29839,1.27665,1.29361,217766,11.0,165,5,2022-08-01,2022-08-05,0,True
USDCADm,2022,32,1.29283,1.29494,1.2726899999999999,1.27728,168231,11.0,83,5,2022-08-08,2022-08-12,0,True
USDCADm,2022,33,1.27707,1.30084,1.27684,1.2991,182089,11.0,62,5,2022-08-15,2022-08-19,0,True
USDCADm,2022,34,1.2981500000000001,1.30627,1.28943,1.30313,204120,11.0,77,5,2022-08-22,2022-08-26,0,True
USDCADm,2022,35,1.3026200000000001,1.32073,1.29712,1.31247,250745,11.0,99,5,2022-08-29,2022-09-02,0,True
USDCADm,2022,36,1.3121,1.3208199999999999,1.2981,1.30207,241862,11.0,199,5,2022-09-05,2022-09-09,0,True
USDCADm,2022,37,1.3038,1.3307,1.2953000000000001,1.32646,234258,11.0,157,5,2022-09-12,2022-09-16,0,True
USDCADm,2022,38,1.32596,1.36118,1.32264,1.35882,302107,11.0,75,5,2022-09-19,2022-09-23,0,True
USDCADm,2022,39,1.35957,1.3835899999999999,1.35584,1.38287,482471,11.0,127,5,2022-09-26,2022-09-30,0,True
USDCADm,2022,40,1.3812,1.3823400000000001,1.34989,1.37323,384431,11.0,148,5,2022-10-03,2022-10-07,0,True
USDCADm,2022,41,1.37293,1.3976899999999999,1.37022,1.38803,495349,11.0,94,5,2022-10-10,2022-10-14,0,True
USDCADm,2022,42,1.3866100000000001,1.38764,1.36289,1.3643,438464,11.0,95,5,2022-10-17,2022-10-21,0,True
USDCADm,2022,43,1.3633199999999999,1.3773900000000001,1.34947,1.36041,429602,11.0,99,5,2022-10-24,2022-10-28,0,True
USDCADm,2022,44,1.35989,1.38076,1.34681,1.34786,357254,11.0,142,5,2022-10-31,2022-11-04,0,True
USDCADm,2022,45,1.3527,1.35704,1.32352,1.32519,387844,11.0,164,5,2022-11-07,2022-11-11,0,True
USDCADm,2022,46,1.32661,1.34083,1.32251,1.3383099999999999,371295,11.0,164,5,2022-11-14,2022-11-18,0,True
USDCADm,2022,47,1.33741,1.34944,1.33156,1.3373,200586,11.0,109,5,2022-11-21,2022-11-25,0,True
USDCADm,2022,48,1.33864,1.3645100000000001,1.33852,1.34705,306315,11.0,164,5,2022-11-28,2022-12-02,0,True
USDCADm,2022,49,1.34588,1.36994,1.33844,1.3645,270908,11.0,98,5,2022-12-05,2022-12-09,0,True
USDCADm,2022,50,1.3629,1.37045,1.35175,1.3695599999999999,303582,11.0,107,5,2022-12-12,2022-12-16,0,True
USDCADm,2022,51,1.3676,1.37033,1.35622,1.35934,251149,11.0,158,5,2022-12-19,2022-12-23,0,True
