tf,signal,touch_A,touch_B,touch_min,all_A,all_B,nA,nB
H1,structure,0.5025882816714387,0.5051111592888959,0.5025882816714387,0.49584355629531635,0.4910470973033546,4304,4506
H4,ema_cross,0.4881096974122737,0.4962488571720695,0.4881096974122737,0.5008663253428967,0.48860675673049897,6155,6155
H4,vs_ema21,0.4929854689773624,0.48527774335251805,0.48527774335251805,0.5037279229581777,0.49578564606944087,6155,6155
H1,vs_ema21,0.49400779422781105,0.4851255219082313,0.4851255219082313,0.49566085839751584,0.4969691329121132,6155,6155
M15,structure,0.48463003624242745,0.49922861089403275,0.48463003624242745,0.49922541928582526,0.5000330293993595,4468,4712
H1,ema_cross,0.4825204048688728,0.49408364812801087,0.4825204048688728,0.500533309271888,0.5021716480963473,6155,6155
H4,structure,0.4819680780899618,0.4932923212103371,0.4819680780899618,0.49624561208852924,0.5006622706400702,3485,3802
M15,ema_cross,0.48524851052561896,0.4796392228478025,0.4796392228478025,0.49500068213877535,0.48162601965900637,6155,6155
M5,structure,0.4969457807290687,0.47892592016311064,0.47892592016311064,0.49041905736897673,0.4868272809502173,4381,4650
M15,vs_ema21,0.47325640843555256,0.4768699673040092,0.47325640843555256,0.4836149594273633,0.4837518061588768,6155,6155
M5,vs_ema21,0.47011096634974064,0.48435394638809187,0.47011096634974064,0.48402497141960504,0.4834617279329323,6155,6155
M5,ema_cross,0.468670709039967,0.47541002234083213,0.468670709039967,0.48329991884327617,0.4801326173176998,6155,6155
