predictor,bucket,nA,pA,liftA,nB,pB,liftB,min_lift
compression,Q1 low,5229,0.025435073627844713,1.363948985907789,4746,0.023809523809523808,1.2767793138760881,1.2767793138760881
compression,Q2,4870,0.02299794661190965,1.2332587048199422,5104,0.019592476489028215,1.050641284929383,1.050641284929383
compression,Q3,4811,0.020993556433173976,1.1257738202998058,5163,0.020918070889018012,1.121725928286255,1.121725928286255
compression,Q4,5020,0.01952191235059761,1.0468573019748961,4954,0.008881711748082357,0.47627940493399484,0.47627940493399484
compression,Q5 high,5005,0.01038961038961039,0.5571400642368385,4969,0.01388609378144496,0.7446380462090769,0.5571400642368385
range_ratio,Q1 low,4622,0.02444829078321073,1.311033021128497,5353,0.01793386885858397,0.9616988966090765,0.9616988966090765
range_ratio,Q2,4962,0.020757758968158,1.1131292446247394,5012,0.01656025538707103,0.8880392434501284,0.8880392434501284
range_ratio,Q3,5143,0.01866614816255104,1.0009671774350353,4831,0.018422686814324157,0.9879116280829678,0.9879116280829678
range_ratio,Q4,5154,0.02173069460613116,1.165302656669212,4820,0.017219917012448134,0.9234134207825816,0.9234134207825816
range_ratio,Q5 high,5054,0.014246141669964385,0.7639455174438643,4920,0.01686991869918699,0.9046448553195209,0.7639455174438643
vol_of_vol,Q1 low,4640,0.022844827586206897,1.2250477382276603,5335,0.013495782567947517,0.7237077123076459,0.7237077123076459
vol_of_vol,Q2,4856,0.015650741350906095,0.8392667977538042,5118,0.012895662368112544,0.6915264279141298,0.6915264279141298
vol_of_vol,Q3,4926,0.019285424279334145,1.034175692725455,5048,0.018026941362916007,0.9666898846343916,0.9666898846343916
vol_of_vol,Q4,4931,0.01946866761306023,1.0440020672375556,5043,0.021217529248463218,1.1377843023119454,1.0440020672375556
vol_of_vol,Q5 high,5582,0.0220351128627732,1.1816270038487766,4392,0.022313296903460837,1.196544548249995,1.1816270038487766
tick_vol,Q1 low,8068,0.02181457610312345,1.1698007793966338,1907,0.01782905086523335,0.9560780598925295,0.9560780598925295
tick_vol,Q2,4009,0.014966325767024195,0.8025651960508211,5965,0.01827326068734283,0.979898692191908,0.8025651960508211
tick_vol,Q3,3168,0.020833333333333332,1.117181899641577,6807,0.018069634200088145,0.9689792765511783,0.9689792765511783
tick_vol,Q4,3475,0.02014388489208633,1.080210412315309,6498,0.01585103108648815,0.8500072809830652,0.8500072809830652
tick_vol,Q5 high,6215,0.01995172968624296,1.0699061410565835,3759,0.017291832934291033,0.92726989275917,0.92726989275917
hour,0,1020,0.03235294117647059,1.7349177735610375,1020,0.013725490196078431,0.7360257221168037,0.7360257221168037
hour,1,1020,0.027450980392156862,1.4720514442336075,1020,0.011764705882352941,0.6308791903858317,0.6308791903858317
hour,2,1020,0.01764705882352941,0.9463187855787476,1020,0.008823529411764706,0.4731593927893738,0.4731593927893738
hour,3,1020,0.018627450980392157,0.9988920514442337,1020,0.0058823529411764705,0.31543959519291587,0.31543959519291587
hour,4,1020,0.018627450980392157,0.9988920514442337,1020,0.004901960784313725,0.26286632932742987,0.26286632932742987
hour,5,1020,0.020588235294117647,1.1040385831752055,1020,0.030392156862745098,1.6297712418300654,1.1040385831752055
hour,6,1023,0.01466275659824047,0.7862863809794092,1020,0.018627450980392157,0.9988920514442337,0.7862863809794092
hour,7,1080,0.010185185185185186,0.5461778176025488,1005,0.027860696517412936,1.494022361311721,0.5461778176025488
hour,8,1080,0.03148148148148148,1.688185981680605,1020,0.024509803921568627,1.3143316466371495,1.3143316466371495
hour,9,1080,0.018518518518518517,0.9930505774591796,1020,0.01764705882352941,0.9463187855787476,0.9463187855787476
hour,10,1080,0.013888888888888888,0.7447879330943846,1020,0.010784313725490196,0.5783059245203458,0.5783059245203458
hour,11,1080,0.025925925925925925,1.3902708084428514,1020,0.03333333333333333,1.7874910394265233,1.3902708084428514
hour,12,1080,0.027777777777777776,1.4895758661887692,1020,0.028431372549019607,1.5246247100990933,1.4895758661887692
hour,13,1080,0.011111111111111112,0.5958303464755078,1020,0.043137254901960784,2.313223698081383,0.5958303464755078
hour,14,1052,0.013307984790874524,0.71363710699538,1048,0.003816793893129771,0.2046745464992202,0.2046745464992202
hour,15,1020,0.029411764705882353,1.5771979759645793,1080,0.019444444444444445,1.0427031063321386,1.0427031063321386
hour,16,1020,0.010784313725490196,0.5783059245203458,1080,0.017592592592592594,0.9433980485862207,0.5783059245203458
hour,17,1020,0.01568627450980392,0.8411722538477757,1080,0.016666666666666666,0.8937455197132617,0.8411722538477757
hour,18,1020,0.00980392156862745,0.5257326586548597,1080,0.005555555555555556,0.2979151732377539,0.2979151732377539
hour,19,1020,0.023529411764705882,1.2617583807716635,1080,0.008333333333333333,0.44687275985663083,0.44687275985663083
