symbol,asset_class,path,status,error,history_depth,bars_requested,trade_mode,calc_mode,bid,ask,spread_points_live,spread_price_live,digits,point,volume_min,volume_step,volume_max,contract_size,currency_profit,currency_margin,currency_base,swap_mode_code,swap_mode,swap_long,swap_short,triple_swap_day,raw_price_x_contract,hist_fetch_s,d1_bars,d1_start,d1_end,d1_years,d1_bars_capped,price_source,long_available,short_available,both_sides,stage2_selected,stage2_reason,margin_min_lot_buy_usd,margin_min_lot_sell_usd,pl_1pct_move_min_lot_usd,notional_usd_min_lot,notional_vs_raw_ratio,atr20_d1_price,atr20_d1_median_price,atr20_pct_of_price,spread_points_med_d1,spread_price_med_d1,loss_1atr_min_lot_usd,loss_2atr_min_lot_usd,atr_loss_method,spread_pct_of_atr_live,spread_pct_of_atr_med,swap_free,swap_converted,swap_usd_day_long,swap_usd_day_short,annual_cost_long_pct,annual_cost_short_pct,risk_2atr_pct_of_balance,fits_risk_0.25pct,fits_risk_0.50pct,fits_risk_1.00pct,exposure_x_equity,under_1x_exposure,under_2x_exposure,under_3x_exposure,group,fail_reason,rank,rank_score,holding_cost_best_side_pct,earliest_cache_year,history_suspect
USDCADm,Forex,Standard\Forex\USDCADm,ok,,EXACT,20000,FULL,FOREX,1.4013,1.40164,34,0.00034,5,1e-05,0.01,0.01,200.0,100000.0,CAD,USD,USD,1,POINTS,0.0,0.0,Wednesday,1401.64,25.78,2522,2018-07-03,2026-07-31,10.01,False,live_tick,True,True,True,True,clean_pass,0.5,0.5,10.0,1000.0,0.7134499586199023,0.0050214999999999,0.0066384999999999,0.3582588967209832,11.0,0.00011,3.58,7.16,order_calc_profit,6.770885193667383,2.190580503833521,False,True,0.0,0.0,-0.0,-0.0,0.731358529111338,False,False,True,1.0214504596527068,False,True,True,A_TRADEABLE_NOW,,1.0,14.125,-0.0,2018.0,False
AUDUSDm,Forex,Standard\Forex\AUDUSDm,ok,,EXACT,20000,FULL,FOREX,0.70308,0.70317,9,8.999999999992347e-05,5,1e-05,0.01,0.01,200.0,100000.0,USD,AUD,AUD,1,POINTS,0.0,-2.2,Wednesday,703.17,33.74,2522,2018-07-03,2026-07-31,10.01,False,live_tick,True,True,True,True,clean_pass,0.35,0.35,7.03,703.0,0.9997582376950098,0.0040414999999999,0.0054555,0.5747543268341927,9.0,9e-05,4.04,8.08,order_calc_profit,2.2268959544704603,2.226895954472354,False,True,0.0,-0.02,-0.0,1.038406827880512,0.8253319713993871,False,False,True,0.7180796731358529,True,True,True,A_TRADEABLE_NOW,,2.0,15.375,-0.0,2018.0,False
NZDCADm,Forex,Standard\Forex\NZDCADm,ok,,EXACT,20000,FULL,FOREX,0.82508,0.82528,20,0.0001999999999999,5,1e-05,0.01,0.01,200.0,100000.0,CAD,NZD,NZD,1,POINTS,-0.2,-2.2,Wednesday,825.28,46.23,2522,2018-07-03,2026-07-31,10.01,False,live_tick,True,True,True,True,clean_pass,0.29,0.29,5.89,589.0,0.7136971694455215,0.0048259999999999,0.0054535,0.5847712291585869,13.0,0.00013,3.45,6.89,order_calc_profit,4.144218814752975,2.69374222958973,False,True,0.0,-0.01,-0.0,0.6196943972835314,0.703779366700715,False,False,True,0.6016343207354443,True,True,True,A_TRADEABLE_NOW,,3.0,15.375,-0.0,2018.0,False
AUDNZDm,Forex,Standard\Forex\AUDNZDm,ok,,EXACT,20000,FULL,FOREX,1.19341,1.19387,46,0.0004599999999999,5,1e-05,0.01,0.01,200.0,100000.0,NZD,AUD,AUD,1,POINTS,0.0,-9.4,Wednesday,1193.87,36.3,2522,2018-07-03,2026-07-31,10.01,False,live_tick,True,True,True,True,clean_pass,0.35,0.35,7.03,703.0,0.5888413311332054,0.005446,0.0046004999999999,0.4561635688977877,18.0,0.00018,3.21,6.41,order_calc_profit,8.446566287181481,3.305178112376045,False,True,0.0,-0.05,-0.0,2.59601706970128,0.6547497446373851,False,False,True,0.7180796731358529,True,True,True,A_TRADEABLE_NOW,,4.0,16.125,-0.0,2018.0,False
AUDCHFm,Forex,Standard\Forex\AUDCHFm,ok,,EXACT,20000,FULL,FOREX,0.56699,0.56768,69,0.0006899999999999,5,1e-05,0.01,0.01,200.0,100000.0,CHF,AUD,AUD,1,POINTS,0.0,-9.8,Wednesday,567.68,0.02,2522,2018-07-03,2026-07-31,10.01,False,live_tick,True,True,True,True,clean_pass,0.35,0.35,7.04,704.0,1.2401352874859075,0.0030764999999999,0.0045989999999999,0.5419426437429496,9.0,9e-05,3.82,7.62,order_calc_profit,22.42808386153011,2.9254022428084085,False,True,0.0,-0.12,-0.0,6.221590909090908,0.7783452502553626,False,False,True,0.7191011235955056,True,True,True,A_TRADEABLE_NOW,,5.0,17.375,-0.0,2018.0,False
NFLXm,Stocks,Standard\Stocks\NFLXm,ok,,EXACT,20000,FULL,CFD,71.45,71.83,38,0.3799999999999954,2,0.01,0.01,0.01,10.0,100.0,USD,USD,USD,1,POINTS,-1.1,-1.0,Friday,71.83,15.98,1603,2020-03-16,2026-07-31,6.36,False,live_tick,True,True,True,True,clean_pass,3.59,3.57,0.72,72.0,1.0023666991507727,2.5710000000000006,1.6489999999999996,3.579284421550885,6.0,0.06,2.57,5.14,order_calc_profit,14.780241151302814,2.3337222870478405,False,True,-0.01,-0.01,5.069444444444445,5.069444444444445,0.5250255362614913,False,False,True,0.0735444330949949,True,True,True,A_TRADEABLE_NOW,,6.0,17.875,5.069444444444445,2020.0,False
AUDCADm,Forex,Standard\Forex\AUDCADm,ok,,EXACT,20000,FULL,FOREX,0.98483,0.98511,28,0.00028,5,1e-05,0.01,0.01,200.0,100000.0,CAD,AUD,AUD,1,POINTS,0.0,-8.1,Wednesday,985.11,0.01,2522,2018-07-03,2026-07-31,10.01,False,live_tick,True,True,True,True,clean_pass,0.35,0.35,7.03,703.0,0.7136258894945742,0.004765,0.0053604999999999,0.4837023276588404,18.0,0.00018,3.4,6.8,order_calc_profit,5.876180482687468,3.77754459601259,False,True,0.0,-0.06,-0.0,3.115220483641536,0.6945863125638406,False,False,True,0.7180796731358529,True,True,True,A_TRADEABLE_NOW,,7.0,18.125,-0.0,2018.0,False
AUDJPYm,Forex,Standard\Forex\AUDJPYm,ok,,EXACT,20000,FULL,FOREX,110.601,110.769,168,0.1680000000000063,3,0.001,0.01,0.01,200.0,100000.0,JPY,AUD,AUD,1,POINTS,-0.1,-2.2,Wednesday,110769.0,37.41,2522,2018-07-03,2026-07-31,10.01,False,live_tick,True,True,True,True,clean_pass,0.35,0.35,7.04,704.0,0.0063555687963238,0.7326000000000008,0.7326500000000017,0.6613763778674546,18.0,0.018,4.66,9.31,order_calc_profit,22.932022932023777,2.4570024570024542,False,True,0.0,-0.01,-0.0,0.5184659090909091,0.95097037793667,False,False,True,0.7191011235955056,True,True,True,A_TRADEABLE_NOW,,8.0,18.375,-0.0,2018.0,False
WMTm,Stocks,Standard\Stocks\WMTm,ok,,EXACT,20000,FULL,CFD,111.1,111.24,14,0.1400000000000005,2,0.01,0.01,0.01,10.0,100.0,USD,USD,USD,1,POINTS,-1.8,-4.1,Friday,111.24,20.53,1603,2020-03-16,2026-07-31,6.36,False,live_tick,True,True,True,True,clean_pass,5.5600000000000005,5.5600000000000005,1.11,111.0,0.9978425026968716,2.5175000000000005,0.8477500000000002,2.263124775260698,5.0,0.05,2.52,5.04,order_calc_profit,5.561072492552157,1.9860973187686195,False,True,-0.02,-0.04,6.576576576576576,13.153153153153152,0.5148110316649642,False,False,True,0.1133810010214504,True,True,True,A_TRADEABLE_NOW,,9.0,20.125,6.576576576576576,2020.0,False
AUS200m,Indices,Standard\Indices\AUS200m,ok,,EXACT,20000,FULL,CFD,8923.82,8926.76,294,2.9400000000005093,2,0.01,0.06,0.01,300.0,1.0,AUD,AUD,AUD,1,POINTS,0.0,-267.6,Friday,535.6056,23.92,2491,2018-06-12,2026-07-31,9.88,False,live_tick,True,True,True,True,clean_pass,1.88,1.88,3.77,377.0,0.703876135723749,106.27749999999988,74.619,1.190549538690408,294.0,2.94,4.49,8.97,order_calc_profit,2.7663428289153518,2.766342828914872,False,True,0.0,-0.11,-0.0,10.649867374005304,0.916241062308478,False,False,True,0.3850868232890704,True,True,True,A_TRADEABLE_NOW,,10.0,20.625,-0.0,2018.0,False
