k,month,t_in,t_out,pair,dir,atr,gross_usd,notional_usd,stop_risk_usd,days_held,exit_reason,entry_px,exit_px,stop_px,is_signal,signal_pair,signal_dir,signal_score,financing_usd,net_usd,equity_after
4,2021-12,2021-12-07 01:00:00+00:00,2021-12-08 15:00:00+00:00,AUDUSDm,-1,0.00604650000000001,-12.09300000000002,704.32,12.09300000000002,1.5833333333333333,stop,0.70432,0.716413,0.716413,True,AUDUSDm,-1,-0.04382029357673689,0.0,-12.09300000000002,966.9069999999999
5,2022-01,2022-01-04 01:00:00+00:00,2022-01-12 17:00:00+00:00,EURUSDm,-1,0.006809500000000001,-13.61900000000005,1130.5400000000002,13.619000000000003,8.666666666666666,stop,1.13054,1.1441590000000001,1.1441590000000001,True,EURUSDm,-1,-0.04992051214219562,0.0,-13.61900000000005,953.2879999999999
6,2022-02,2022-02-08 01:00:00+00:00,2022-02-10 16:00:00+00:00,NZDJPYm,-1,0.7142000000000003,-12.40213856498082,664.7438607347377,12.402138564980858,2.625,stop,76.561,77.9894,77.9894,True,NZDJPYm,-1,-0.058965242499009196,0.0,-12.40213856498082,940.885861435019
21,2023-05,2023-05-02 00:00:00+00:00,2023-05-08 11:00:00+00:00,AUDCHFm,-1,0.005351000000000006,-11.965374812762894,663.305729318618,11.96537481276292,6.458333333333333,stop,0.59327,0.603972,0.603972,True,AUDCHFm,-1,-0.08024012735139413,0.0,-11.965374812762894,928.9204866222561
23,2023-07,2023-07-04 00:00:00+00:00,2023-07-07 06:00:00+00:00,CADJPYm,1,0.9158000000000015,-12.6957420459887,756.6706621032451,12.69574204598866,3.25,stop,109.164,107.33239999999999,107.33239999999999,True,CADJPYm,1,0.1030270456174347,0.0,-12.6957420459887,916.2247445762674
26,2023-10,2023-10-03 00:00:00+00:00,2023-11-03 12:00:00+00:00,AUDUSDm,-1,0.005812499999999987,-11.624999999999996,636.1400000000001,11.624999999999975,31.5,stop,0.63614,0.647765,0.647765,True,AUDUSDm,-1,-0.034742526724176215,0.0,-11.624999999999996,904.5997445762674
27,2023-11,2023-11-07 01:00:00+00:00,2023-11-20 09:00:00+00:00,USDJPYm,1,0.8513499999999994,-11.402065846552818,1004.7170690193528,11.402065846552857,13.333333333333334,stop,150.037,148.3343,148.3343,True,USDJPYm,1,0.05238720446344125,0.0,-11.402065846552818,893.1976787297147
28,2023-12,2023-12-05 01:00:00+00:00,2023-12-07 08:00:00+00:00,NZDJPYm,1,0.7667000000000023,-10.446993529033096,618.1671519911887,10.446993529033126,2.2916666666666665,stop,90.73400000000001,89.20060000000001,89.20060000000001,True,NZDJPYm,1,0.05313702716914881,0.0,-10.446993529033096,882.7506852006816
32,2024-04,2024-04-02 00:00:00+00:00,2024-05-07 00:00:00+00:00,CADJPYm,1,0.7091500000000004,6.261344329021548,739.3350376159572,9.38738336347916,35.0,rebalance,111.703,112.649,110.2847,True,CADJPYm,1,0.04583601976857299,0.0,6.261344329021548,889.0120295297031
33,2024-05,2024-05-07 00:00:00+00:00,2024-06-04 00:00:00+00:00,AUDCHFm,1,0.004911000000000021,-2.243068366312051,663.683046079612,10.852915021633553,28.0,rebalance,0.6006400000000001,0.59861,0.5908180000000001,True,AUDCHFm,1,0.0517223129786899,0.0,-2.243068366312051,886.768961163391
