pair,base,quote,policy_rate_base_pct,policy_rate_quote_pct,theoretical_long_differential,theoretical_short_differential,exness_swap_long_points,exness_swap_short_points,broker_annual_carry_long_pct,broker_annual_carry_short_pct,sign_agree_long,sign_agree_short,both_directions_cost,markup_long_pct,markup_short_pct,theoretical_positive_side,broker_pays_that_side
AUDCADm,AUD,CAD,4.35,2.25,2.0999999999999996,-2.0999999999999996,0.0,-8.1,0.0,-3.115220483641536,False,True,False,2.0999999999999996,1.0152204836415364,long,False
AUDCHFm,AUD,CHF,4.35,0.0,4.35,-4.35,0.0,-9.8,0.0,-6.221590909090908,False,True,False,4.35,1.8715909090909086,long,False
AUDJPYm,AUD,JPY,4.35,1.0,3.3499999999999996,-3.3499999999999996,-0.1,-2.2,0.0,-0.5184659090909091,False,True,False,3.3499999999999996,-2.8315340909090905,long,False
AUDNZDm,AUD,NZD,4.35,2.5,1.8499999999999996,-1.8499999999999996,0.0,-9.4,0.0,-2.59601706970128,False,True,False,1.8499999999999996,0.7460170697012805,long,False
AUDUSDm,AUD,USD,4.35,3.625,0.7249999999999996,-0.7249999999999996,0.0,-2.2,0.0,-1.038406827880512,False,True,False,0.7249999999999996,0.31340682788051244,long,False
CADJPYm,CAD,JPY,2.25,1.0,1.25,-1.25,0.0,-5.4,0.0,-1.5336134453781511,False,True,False,1.25,0.28361344537815114,long,False
EURCADm,EUR,CAD,2.25,2.25,0.0,0.0,-1.3,-2.3,-0.3165654813529922,-0.3165654813529922,False,False,True,0.3165654813529922,0.3165654813529922,flat,False
EURCHFm,EUR,CHF,2.25,0.0,2.25,-2.25,0.0,-7.4,0.0,-2.8490893321769297,False,True,False,2.25,0.5990893321769297,long,False
EURGBPm,EUR,GBP,2.25,3.75,-1.5,1.5,-4.5,0.0,-1.5828274067649613,0.0,True,False,False,0.08282740676496125,1.5,short,False
EURJPYm,EUR,JPY,2.25,1.0,1.25,-1.25,0.0,-10.5,0.0,-1.8977469670710567,False,True,False,1.25,0.6477469670710567,long,False
EURNZDm,EUR,NZD,2.25,2.5,-0.25,0.25,-4.5,-0.9,-0.6325823223570191,-0.3162911611785095,True,False,True,0.38258232235701906,0.5662911611785095,short,False
EURUSDm,EUR,USD,2.25,3.625,-1.375,1.375,-5.8,0.0,-1.899392888117953,0.0,True,False,False,0.5243928881179529,1.375,short,False
GBPAUDm,GBP,AUD,3.75,4.35,-0.5999999999999996,0.5999999999999996,-5.9,0.0,-1.0822831727205338,0.0,True,False,False,0.4822831727205341,0.5999999999999996,short,False
GBPCHFm,GBP,CHF,3.75,0.0,3.75,-3.75,0.0,-13.2,0.0,-4.329132690882135,False,True,False,3.75,0.579132690882135,long,False
NZDCADm,NZD,CAD,2.5,2.25,0.25,-0.25,-0.2,-2.2,0.0,-0.6196943972835314,False,True,False,0.25,0.3696943972835314,long,False
NZDJPYm,NZD,JPY,2.5,1.0,1.5,-1.5,0.0,-8.1,0.0,-3.0984719864176573,False,True,False,1.5,1.5984719864176573,long,False
USDCADm,USD,CAD,3.625,2.25,1.375,-1.375,0.0,0.0,0.0,0.0,False,False,False,1.375,-1.375,long,False
USDCHFm,USD,CHF,3.625,0.0,3.625,-3.625,0.0,-9.8,0.0,-4.38,False,True,False,3.625,0.7549999999999999,long,False
USDJPYm,USD,JPY,3.625,1.0,2.625,-2.625,0.0,-14.6,0.0,-3.65,False,True,False,2.625,1.025,long,False
