symbol,ny_weekday,ny_hour,median_spread_points,p90_spread_points,n_bars
AUDCADm,0,0,25.0,25.0,259
AUDCADm,0,1,25.0,25.0,259
AUDCADm,0,2,25.0,25.0,259
AUDCADm,0,3,25.0,25.0,259
AUDCADm,0,4,25.0,25.0,259
AUDCADm,0,5,25.0,25.0,259
AUDCADm,0,6,25.0,25.0,259
AUDCADm,0,7,25.0,25.0,259
AUDCADm,0,8,25.0,25.0,259
AUDCADm,0,9,25.0,25.0,259
AUDCADm,0,10,25.0,25.0,259
AUDCADm,0,11,25.0,25.0,259
AUDCADm,0,12,25.0,25.0,259
AUDCADm,0,13,25.0,25.0,259
AUDCADm,0,14,25.0,25.0,259
AUDCADm,0,15,25.0,25.0,259
AUDCADm,0,16,25.0,25.0,259
AUDCADm,0,17,34.0,60.0,261
AUDCADm,0,18,25.0,60.0,261
AUDCADm,0,19,25.0,25.0,261
AUDCADm,0,20,25.0,25.0,261
AUDCADm,0,21,25.0,25.0,261
AUDCADm,0,22,25.0,25.0,260
AUDCADm,0,23,25.0,25.0,261
AUDCADm,1,0,25.0,25.0,261
AUDCADm,1,1,25.0,25.0,261
AUDCADm,1,2,25.0,25.0,261
AUDCADm,1,3,25.0,25.0,261
AUDCADm,1,4,25.0,25.0,261
AUDCADm,1,5,25.0,25.0,261
AUDCADm,1,6,25.0,25.0,261
AUDCADm,1,7,25.0,25.0,261
AUDCADm,1,8,25.0,25.0,261
AUDCADm,1,9,25.0,25.0,261
AUDCADm,1,10,25.0,25.0,261
AUDCADm,1,11,25.0,25.0,261
AUDCADm,1,12,25.0,25.0,261
AUDCADm,1,13,25.0,25.0,260
AUDCADm,1,14,25.0,25.0,261
AUDCADm,1,15,25.0,25.0,261
AUDCADm,1,16,24.0,25.0,261
AUDCADm,1,17,32.0,60.0,259
AUDCADm,1,18,25.0,60.0,259
AUDCADm,1,19,25.0,25.0,258
AUDCADm,1,20,25.0,25.0,259
AUDCADm,1,21,25.0,25.0,259
AUDCADm,1,22,25.0,25.0,258
AUDCADm,1,23,25.0,25.0,259
AUDCADm,2,0,25.0,25.0,259
