symbol,group,history_depth,d1_bars,d1_start,reported_start_year,earliest_cache_year,cache_year_files,years_missing,history_suspect
USDCADm,A_TRADEABLE_NOW,EXACT,2522,2018-07-03,2018.0,2018.0,9,0,False
AUDUSDm,A_TRADEABLE_NOW,EXACT,2522,2018-07-03,2018.0,2018.0,9,0,False
NZDCADm,A_TRADEABLE_NOW,EXACT,2522,2018-07-03,2018.0,2018.0,9,0,False
AUDNZDm,A_TRADEABLE_NOW,EXACT,2522,2018-07-03,2018.0,2018.0,9,0,False
AUDCHFm,A_TRADEABLE_NOW,EXACT,2522,2018-07-03,2018.0,2018.0,9,0,False
NFLXm,A_TRADEABLE_NOW,EXACT,1603,2020-03-16,2020.0,2020.0,7,0,False
AUDCADm,A_TRADEABLE_NOW,EXACT,2522,2018-07-03,2018.0,2018.0,9,0,False
AUDJPYm,A_TRADEABLE_NOW,EXACT,2522,2018-07-03,2018.0,2018.0,9,0,False
WMTm,A_TRADEABLE_NOW,EXACT,1603,2020-03-16,2020.0,2020.0,7,0,False
AUS200m,A_TRADEABLE_NOW,EXACT,2491,2018-06-12,2018.0,2018.0,9,0,False
CADJPYm,A_TRADEABLE_NOW,EXACT,2522,2018-07-03,2018.0,2018.0,9,0,False
NZDCHFm,A_TRADEABLE_NOW,EXACT,1705,2021-02-14,2021.0,2021.0,6,0,False
NZDJPYm,A_TRADEABLE_NOW,EXACT,2522,2018-07-03,2018.0,2018.0,9,0,False
KOm,A_TRADEABLE_NOW,EXACT,1603,2020-03-16,2020.0,2020.0,7,0,False
XOMm,A_TRADEABLE_NOW,EXACT,1603,2020-03-16,2020.0,2020.0,7,0,False
CMCSAm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
HK50m,A_TRADEABLE_NOW,EXACT,1968,2019-07-10,2019.0,2019.0,8,0,False
WFCm,A_TRADEABLE_NOW,EXACT,1603,2020-03-16,2020.0,2020.0,7,0,False
MOm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
BILIm,A_TRADEABLE_NOW,EXACT,1216,2021-09-27,2021.0,2021.0,6,0,False
Cm,A_TRADEABLE_NOW,EXACT,1603,2020-03-16,2020.0,2020.0,7,0,False
MRKm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
XCUUSDm,A_TRADEABLE_NOW,EXACT,826,2023-04-26,2023.0,2023.0,4,0,False
PGm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
BMYm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
GILDm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
VIPSm,A_TRADEABLE_NOW,EXACT,1216,2021-09-27,2021.0,2021.0,6,0,False
CSCOm,A_TRADEABLE_NOW,EXACT,1603,2020-03-16,2020.0,2020.0,7,0,False
EBAYm,A_TRADEABLE_NOW,EXACT,1603,2020-03-16,2020.0,2020.0,7,0,False
BEKEm,A_TRADEABLE_NOW,EXACT,1216,2021-09-27,2021.0,2021.0,6,0,False
BACm,A_TRADEABLE_NOW,EXACT,1603,2020-03-16,2020.0,2020.0,7,0,False
MDLZm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
PEPm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
SBUXm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
XALUSDm,A_TRADEABLE_NOW,EXACT,834,2023-04-14,2023.0,2023.0,4,0,False
ABTm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
CVSm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
PYPLm,A_TRADEABLE_NOW,EXACT,1603,2020-03-16,2020.0,2020.0,7,0,False
MMMm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
PDDm,A_TRADEABLE_NOW,EXACT,1216,2021-09-27,2021.0,2021.0,6,0,False
CSXm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
UPSm,A_TRADEABLE_NOW,EXACT,1413,2020-12-14,2020.0,2021.0,6,0,False
