i,time,level,isHigh,tf,mid,atr15,atr1
73,2025-02-26 21:45:00,84616.62,True,H1,84594.81,1067.6335714285701,1441.654285714288
79,2025-02-26 23:15:00,84139.81,False,H1,84187.21,844.7585714285722,1477.5607142857157
85,2025-02-27 00:45:00,84767.68,True,H1,84726.03,574.5235714285706,1502.318571428573
89,2025-02-27 01:45:00,84796.98,True,H1,84782.18,477.1949999999976,1528.2807142857148
93,2025-02-27 02:45:00,84302.57,False,H1,84308.85,457.9692857142821,1523.037857142857
117,2025-02-27 08:45:00,86076.14,False,H1,86037.9,362.40071428571537,1092.932857142857
122,2025-02-27 10:00:00,86334.71,True,H1,86321.89,325.66285714286124,938.1685714285725
126,2025-02-27 11:00:00,86731.83,True,H4,86745.32,341.5757142857162,869.7957142857152
130,2025-02-27 12:00:00,86333.83,False,H1,86336.01,360.7371428571444,821.8500000000006
133,2025-02-27 12:45:00,86333.83,False,H1,86298.14,362.9407142857152,821.8500000000006
150,2025-02-27 17:00:00,84615.72,False,H4,84585.97,673.9307142857142,905.059285714288
157,2025-02-27 18:45:00,84615.72,False,H4,84590.98,482.6335714285711,889.6478571428587
168,2025-02-27 21:30:00,84119.51,True,H1,84131.02,563.4357142857116,988.0142857142855
177,2025-02-27 23:45:00,84726.04,True,H1,84690.42,471.1728571428529,1013.9299999999982
182,2025-02-28 01:00:00,84185.31,False,H1,84245.35,337.9821428571418,1175.1757142857127
202,2025-02-28 06:00:00,79545.78,False,H4,79580.5,850.6407142857123,1408.1785714285704
207,2025-02-28 07:15:00,79545.78,False,H4,79490.97,797.9942857142835,1458.1292857142846
210,2025-02-28 08:00:00,78807.5,False,H4,78789.53,717.5728571428564,1510.3678571428568
225,2025-02-28 11:45:00,80467.32,True,H1,80536.06,626.1078571428578,1500.7900000000009
229,2025-02-28 12:45:00,80855.16,True,H4,80793.1,492.4078571428576,1493.4128571428591
249,2025-02-28 17:45:00,83559.46,False,H1,83633.93,782.7549999999974,1355.2742857142855
252,2025-02-28 18:30:00,84488.93,True,H4,84437.86,715.6999999999971,1380.1800000000003
257,2025-02-28 19:45:00,84488.93,True,H4,84455.99,658.8092857142838,1322.2128571428568
261,2025-02-28 20:45:00,84226.96,False,H1,84220.72,616.0549999999993,1298.3828571428562
274,2025-03-01 00:00:00,84552.47,True,H1,84529.9,361.49928571428507,1096.6378571428545
281,2025-03-01 01:45:00,84640.42,True,H1,84615.08,340.7007142857162,1106.124999999998
304,2025-03-01 07:30:00,84849.45,False,H1,84846.87,301.20499999999964,896.2235714285717
308,2025-03-01 08:30:00,85092.78,True,H1,85133.88,249.92928571428743,801.2228571428578
310,2025-03-01 09:00:00,85377.32,True,H1,85396.1,253.11928571428766,786.7400000000022
313,2025-03-01 09:45:00,85377.32,True,H1,85416.58,256.6614285714303,786.7400000000022
327,2025-03-01 13:15:00,84479.56,False,H1,84472.51,318.8842857142881,750.9800000000032
335,2025-03-01 15:15:00,84848.74,True,H1,84828.91,299.2492857142871,678.3100000000029
337,2025-03-01 15:45:00,84848.74,True,H1,84814.27,300.10000000000065,678.3100000000029
338,2025-03-01 16:00:00,84988.96,True,H4,84961.44,300.60142857142847,622.0564285714312
351,2025-03-01 19:15:00,85363.41,True,H1,85347.49,238.00428571428554,519.9785714285744
360,2025-03-01 21:30:00,85622.6,True,H4,85644.36,201.6500000000004,517.5242857142886
372,2025-03-02 00:30:00,86232.66,True,H1,86240.81,333.02857142857204,514.5535714285735
378,2025-03-02 02:00:00,86296.88,True,H4,86308.54,309.53999999999985,528.7342857142887
386,2025-03-02 04:00:00,85774.99,False,H1,85760.93,298.6385714285716,512.5221428571458
388,2025-03-02 04:30:00,85774.99,False,H1,85773.0,285.625,512.5221428571458
390,2025-03-02 05:00:00,85906.21,True,H1,85934.53,278.8485714285707,513.8407142857167
424,2025-03-02 13:30:00,85657.86,False,H4,85683.48,180.63857142857054,472.3092857142848
467,2025-03-03 00:15:00,93844.47,False,H1,93834.4,537.6285714285716,1624.1907142857162
486,2025-03-03 05:00:00,92929.41,True,H1,92975.55,421.3935714285711,1487.8057142857174
491,2025-03-03 06:15:00,92790.37,False,H1,92833.2,337.9971428571412,1293.136428571431
497,2025-03-03 07:45:00,92418.03,False,H4,92378.82,460.19285714285587,1078.3842857142881
507,2025-03-03 10:15:00,92050.94,True,H1,92029.3,552.3099999999977,1024.1278571428588
512,2025-03-03 11:30:00,92615.57,True,H1,92631.49,531.6478571428555,1008.3521428571445
518,2025-03-03 13:00:00,92972.85,True,H4,92940.93,425.59928571428566,976.9221428571442
527,2025-03-03 15:15:00,91098.1,False,H4,91037.68,916.2171428571424,1319.7528571428577
550,2025-03-03 21:00:00,86330.6,True,H1,86299.72,1028.7521428571417,1635.6485714285704
