tf,signal,sample,n_long,n_short,hit_up,hit_dn,balanced_acc
M5,ema_cross,big moves,565,366,0.5858407079646017,0.5573770491803278,0.5716088785724648
M5,ema_cross,all bars,26213,23766,0.4780070957158662,0.48552554068837833,0.48176631820212223
M5,slope,big moves,457,474,0.562363238512035,0.5021097046413502,0.5322364715766925
M5,slope,all bars,24921,25058,0.4861361903615425,0.49549046212786335,0.4908133262447029
M5,above_ema,big moves,539,392,0.5992578849721707,0.5663265306122449,0.5827922077922079
M5,above_ema,all bars,25904,24075,0.4798872760963558,0.4880166147455867,0.48395194542097125
M5,donchian,all bars,2330,2370,0.4678111587982833,0.49240506329113926,0.4801081110447113
M5,structure,big moves,312,376,0.4935897435897436,0.43617021276595747,0.46487997817785054
M5,structure,all bars,17990,18795,0.48732629238465813,0.48986432561851556,0.4885953090015869
M15,ema_cross,big moves,538,393,0.6301115241635687,0.6081424936386769,0.6191270089011228
M15,ema_cross,all bars,26748,23231,0.4845595932406161,0.49223020963367914,0.4883949014371476
M15,slope,big moves,512,419,0.576171875,0.5274463007159904,0.5518090878579952
M15,slope,all bars,25339,24640,0.4838786061012668,0.4928571428571429,0.4883678744792048
M15,above_ema,big moves,555,376,0.6072072072072072,0.5851063829787234,0.5961567950929654
M15,above_ema,all bars,26688,23291,0.4802158273381295,0.48731269589111675,0.48376426161462316
M15,donchian,all bars,2265,2025,0.4538631346578366,0.4928395061728395,0.47335132041533806
M15,structure,big moves,335,317,0.6835820895522388,0.6025236593059937,0.6430528744291162
M15,structure,all bars,18164,18675,0.4959810614402114,0.503293172690763,0.4996371170654872
H1,ema_cross,big moves,522,409,0.6283524904214559,0.5965770171149144,0.6124647537681851
H1,ema_cross,all bars,27596,22383,0.49673865777648935,0.5063664388151722,0.5015525482958307
H1,slope,big moves,540,391,0.6092592592592593,0.5805626598465473,0.5949109595529033
H1,slope,all bars,26591,23388,0.490053025459742,0.49863177697964767,0.49434240121969486
H1,above_ema,big moves,541,390,0.6506469500924215,0.6384615384615384,0.6445542442769799
H1,above_ema,all bars,28796,21183,0.4923947770523684,0.5006373034980881,0.4965160402752282
H1,donchian,all bars,2460,1800,0.4817073170731707,0.53,0.5058536585365854
H1,structure,big moves,314,348,0.5286624203821656,0.47126436781609193,0.49996339409912877
H1,structure,all bars,18236,17343,0.4875520947576223,0.500144150377674,0.49384812256764815
H4,ema_cross,big moves,494,437,0.5141700404858299,0.45308924485125857,0.48362964266854425
H4,ema_cross,all bars,26756,23223,0.4906189265959037,0.49920337596348446,0.4949111512796941
H4,slope,big moves,488,443,0.6024590163934426,0.5507900677200903,0.5766245420567664
H4,slope,all bars,27476,22503,0.4997452322026496,0.510020886104075,0.5048830591533623
H4,above_ema,big moves,550,381,0.5690909090909091,0.5275590551181102,0.5483249821045096
H4,above_ema,all bars,29156,20823,0.4952325421868569,0.5044902271526677,0.49986138466976227
H4,donchian,all bars,3120,720,0.49262820512820515,0.5055555555555555,0.49909188034188035
H4,structure,big moves,291,211,0.6323024054982818,0.5829383886255924,0.6076203970619372
H4,structure,all bars,15659,14160,0.4967111565234051,0.5013418079096045,0.4990264822165048
